run,env,design,seed,previous_window_mean,recent_window_mean,relative_improvement
lewm-dmc:cheetah.run.occ-hacssmv8_static-s0,dmc:cheetah.run.occ,hacssmv8_static,0,0.3538754311402639,0.36115724881490074,-0.020577347376655293
lewm-dmc:cheetah.run.occ-hacssmv8_static-s1,dmc:cheetah.run.occ,hacssmv8_static,1,0.3578502242565155,0.3604240364233653,-0.007192428542408277
lewm-dmc:cheetah.run.occ-hacssmv8_static-s2,dmc:cheetah.run.occ,hacssmv8_static,2,0.3759063286781311,0.37719956735769905,-0.0034403216463941588
lewm-dmc:cheetah.run.occ-ssm-s0,dmc:cheetah.run.occ,ssm,0,0.4038376746972402,0.4120581582387288,-0.020355910447561843
lewm-dmc:cheetah.run.occ-ssm-s1,dmc:cheetah.run.occ,ssm,1,0.40924012808005017,0.4172812993923823,-0.01964902940984128
lewm-dmc:cheetah.run.occ-ssm-s2,dmc:cheetah.run.occ,ssm,2,0.4068203145265579,0.4158199203809102,-0.022121820206608113
lewm-dmc:finger.spin.occ-hacssmv6-s0,dmc:finger.spin.occ,hacssmv6,0,0.7591320627530416,0.7630531321366628,-0.005165200596851664
lewm-dmc:finger.spin.occ-hacssmv6-s1,dmc:finger.spin.occ,hacssmv6,1,0.7503267501990001,0.7519027942021688,-0.002100476895899941
lewm-dmc:finger.spin.occ-hacssmv6-s2,dmc:finger.spin.occ,hacssmv6,2,0.7687098214626312,0.7644136719703675,0.005588779240636517
lewm-dmc:finger.spin.occ-hacssmv6_static-s0,dmc:finger.spin.occ,hacssmv6_static,0,0.7946009198824564,0.7974065301418305,-0.003530841947413199
lewm-dmc:finger.spin.occ-hacssmv6_static-s1,dmc:finger.spin.occ,hacssmv6_static,1,0.8001141545772552,0.8009385197957357,-0.0010303095049181614
lewm-dmc:finger.spin.occ-hacssmv6_static-s2,dmc:finger.spin.occ,hacssmv6_static,2,0.7973567362626394,0.8008262400627136,-0.004351256648732266
lewm-dmc:finger.spin.occ-hacssmv7_noaux-s0,dmc:finger.spin.occ,hacssmv7_noaux,0,0.7674366728464762,0.7677577206293742,-0.00041833781764324447
lewm-dmc:finger.spin.occ-hacssmv7_noaux-s1,dmc:finger.spin.occ,hacssmv7_noaux,1,0.7675525075594584,0.766239756266276,0.0017103081290899445
lewm-dmc:finger.spin.occ-hacssmv7_noaux-s2,dmc:finger.spin.occ,hacssmv7_noaux,2,0.7745665966669718,0.7707919030189514,0.004873297743877995
lewm-dmc:finger.spin.occ-hacssmv7_norecovery-s0,dmc:finger.spin.occ,hacssmv7_norecovery,0,0.7667043664455414,0.7691511945724487,-0.0031913580174988175
lewm-dmc:finger.spin.occ-hacssmv7_norecovery-s1,dmc:finger.spin.occ,hacssmv7_norecovery,1,0.7670074075063069,0.7630744871298472,0.005127617201568447
lewm-dmc:finger.spin.occ-hacssmv7_norecovery-s2,dmc:finger.spin.occ,hacssmv7_norecovery,2,0.7739160021940867,0.770755715449651,0.004083500968420522
lewm-dmc:finger.spin.occ-hacssmv7_sharedaction-s0,dmc:finger.spin.occ,hacssmv7_sharedaction,0,0.7703539187908173,0.7714721635977427,-0.0014515987777159744
lewm-dmc:finger.spin.occ-hacssmv7_sharedaction-s1,dmc:finger.spin.occ,hacssmv7_sharedaction,1,0.7686112641493479,0.764698417743047,0.005090800237791664
lewm-dmc:finger.spin.occ-hacssmv7_sharedaction-s2,dmc:finger.spin.occ,hacssmv7_sharedaction,2,0.7776908379395803,0.7736307068665822,0.005220752097009417
lewm-dmc:finger.spin.occ-hacssmv8-s0,dmc:finger.spin.occ,hacssmv8,0,0.7665302372773488,0.7703037493228913,-0.004922848260944847
lewm-dmc:finger.spin.occ-hacssmv8-s1,dmc:finger.spin.occ,hacssmv8,1,0.7657453792095185,0.7624441912174225,0.004311077914050003
lewm-dmc:finger.spin.occ-hacssmv8-s2,dmc:finger.spin.occ,hacssmv8,2,0.7769625483353932,0.7717395794391632,0.006722291708165415
lewm-dmc:finger.spin.occ-hacssmv8_dynamic-s0,dmc:finger.spin.occ,hacssmv8_dynamic,0,0.7570252950191498,0.7599985188643138,-0.003927509245366435
lewm-dmc:finger.spin.occ-hacssmv8_dynamic-s1,dmc:finger.spin.occ,hacssmv8_dynamic,1,0.7526977356274923,0.7538053812980652,-0.001471567693304495
lewm-dmc:finger.spin.occ-hacssmv8_dynamic-s2,dmc:finger.spin.occ,hacssmv8_dynamic,2,0.7677629653612773,0.7629590391318003,0.006257043444673681
lewm-dmc:finger.spin.occ-hacssmv8_levelaction-s0,dmc:finger.spin.occ,hacssmv8_levelaction,0,0.7674366728464762,0.7677577206293742,-0.00041833781764324447
lewm-dmc:finger.spin.occ-hacssmv8_levelaction-s1,dmc:finger.spin.occ,hacssmv8_levelaction,1,0.7675525075594584,0.766239756266276,0.0017103081290899445
lewm-dmc:finger.spin.occ-hacssmv8_levelaction-s2,dmc:finger.spin.occ,hacssmv8_levelaction,2,0.7745665966669718,0.7707919030189514,0.004873297743877995
lewm-dmc:finger.spin.occ-hacssmv8_noaction-s0,dmc:finger.spin.occ,hacssmv8_noaction,0,0.8683945577144623,0.8689987175464631,-0.0006957204264279245
lewm-dmc:finger.spin.occ-hacssmv8_noaction-s1,dmc:finger.spin.occ,hacssmv8_noaction,1,0.8615009655952454,0.8624694575468699,-0.001124191370993238
lewm-dmc:finger.spin.occ-hacssmv8_noaction-s2,dmc:finger.spin.occ,hacssmv8_noaction,2,0.8656543440024058,0.8647405277887981,0.0010556363748868505
lewm-dmc:finger.spin.occ-hacssmv8_redundant-s0,dmc:finger.spin.occ,hacssmv8_redundant,0,0.7683831396102905,0.7686378149191538,-0.0003314431248355187
lewm-dmc:finger.spin.occ-hacssmv8_redundant-s1,dmc:finger.spin.occ,hacssmv8_redundant,1,0.7660144329865773,0.7633195759455362,0.0035180238452352124
lewm-dmc:finger.spin.occ-hacssmv8_redundant-s2,dmc:finger.spin.occ,hacssmv8_redundant,2,0.7775538730621339,0.7726501392523447,0.0063066161454221085
lewm-dmc:finger.spin.occ-hacssmv8_single-s0,dmc:finger.spin.occ,hacssmv8_single,0,0.8573988556067149,0.8635654187202453,-0.007192175582234438
lewm-dmc:finger.spin.occ-hacssmv8_single-s1,dmc:finger.spin.occ,hacssmv8_single,1,0.8621644448439281,0.8652712949911753,-0.0036035470562806858
lewm-dmc:finger.spin.occ-hacssmv8_single-s2,dmc:finger.spin.occ,hacssmv8_single,2,0.8708889589309692,0.8674402518272399,0.003959984873344345
lewm-dmc:finger.spin.occ-hacssmv8_static-s0,dmc:finger.spin.occ,hacssmv8_static,0,0.7982718273798625,0.7933457980950673,0.006170867010255956
