env,seed,rank,design,clean_mse_first_post
dmc:ball_in_cup.catch.occ,4,12,hacssmv7_single,1.046249270439148
dmc:ball_in_cup.catch.occ,4,13,hacssmv7_noaction,1.1179133653640747
dmc:finger.spin.occ,0,1,hacssmv7_norecovery,1.125689148902893
dmc:finger.spin.occ,0,2,hacssmv6,1.1269972324371338
dmc:finger.spin.occ,0,3,hacssmv7_noshrink,1.1297118663787842
dmc:finger.spin.occ,0,4,hacssmv7,1.132210373878479
dmc:finger.spin.occ,0,5,hacsmv4_two_noaux,1.1332805156707764
dmc:finger.spin.occ,0,6,hacssmv7_actiononly,1.1372092962265015
dmc:finger.spin.occ,0,7,hacssmv7_noaux,1.1406495571136475
dmc:finger.spin.occ,0,8,hacssmv7_sharedaction,1.1435481309890747
dmc:finger.spin.occ,0,9,hacssmv7_uniform,1.1508972644805908
dmc:finger.spin.occ,0,10,hacssmv6_static,1.1770929098129272
dmc:finger.spin.occ,0,11,ssm,1.1819552183151245
dmc:finger.spin.occ,0,12,hacssmv7_single,1.3021007776260376
dmc:finger.spin.occ,0,13,hacssmv7_noaction,1.3149888515472412
dmc:finger.spin.occ,1,1,hacssmv7_noshrink,1.1091378927230835
dmc:finger.spin.occ,1,2,hacssmv6,1.1105384826660156
dmc:finger.spin.occ,1,3,hacsmv4_two_noaux,1.1110180616378784
dmc:finger.spin.occ,1,4,hacssmv7_noaux,1.1305948495864868
dmc:finger.spin.occ,1,5,hacssmv7_norecovery,1.1366268396377563
dmc:finger.spin.occ,1,6,hacssmv7_sharedaction,1.1397005319595337
dmc:finger.spin.occ,1,7,hacssmv7_uniform,1.1404709815979004
dmc:finger.spin.occ,1,8,hacssmv7,1.144624948501587
dmc:finger.spin.occ,1,9,hacssmv7_actiononly,1.1456644535064697
dmc:finger.spin.occ,1,10,ssm,1.206615686416626
dmc:finger.spin.occ,1,11,hacssmv6_static,1.2260631322860718
dmc:finger.spin.occ,1,12,hacssmv7_noaction,1.302717685699463
