candidate,reference,env,n_pairs,candidate_mean_mse,reference_mean_mse,mean_paired_relative_reduction,median_paired_relative_reduction,paired_wins,paired_ties,environment_mean_wins
hacsmv4_two_noaux,hacssmv7_actiononly,__overall__,25,,,-0.011699648865152526,-0.009296537328181722,9,0,1
hacsmv4_two_noaux,hacssmv7_uniform,dmc:reacher.hard.occ,5,0.8308597564697265,0.826456093788147,-0.005311295121083072,-0.007873508927033264,1,0,
hacsmv4_two_noaux,hacssmv7_uniform,dmc:ball_in_cup.catch.occ,5,0.9775278806686402,0.9393751382827759,-0.04102984472873705,-0.03195551830903097,1,0,
hacsmv4_two_noaux,hacssmv7_uniform,dmc:finger.spin.occ,5,1.1288960218429565,1.1483026504516602,0.016725929674495578,0.020799176343617977,4,0,
hacsmv4_two_noaux,hacssmv7_uniform,dmc:cheetah.run.occ,5,0.5639344334602356,0.5602586746215821,-0.006811646816088079,-0.000390677486342208,1,0,
hacsmv4_two_noaux,hacssmv7_uniform,ogbench:cube-single.occ,5,1.368989682197571,1.3477153778076172,-0.015743137206897302,-0.013570865862012416,0,0,
hacsmv4_two_noaux,hacssmv7_uniform,__overall__,25,,,-0.010433998839661986,-0.005508327353095445,7,0,1
hacsmv4_two_noaux,hacssmv7_norecovery,dmc:reacher.hard.occ,5,0.8308597564697265,0.8270128250122071,-0.004620474651551417,-0.008594276113924508,2,0,
hacsmv4_two_noaux,hacssmv7_norecovery,dmc:ball_in_cup.catch.occ,5,0.9775278806686402,0.9293771982192993,-0.05173744812913715,-0.041119359994047325,0,0,
hacsmv4_two_noaux,hacssmv7_norecovery,dmc:finger.spin.occ,5,1.1288960218429565,1.1403366565704345,0.009984721103189832,0.011921663270529962,4,0,
hacsmv4_two_noaux,hacssmv7_norecovery,dmc:cheetah.run.occ,5,0.5639344334602356,0.5600851774215698,-0.007440909367699894,-0.006520505463405274,2,0,
hacsmv4_two_noaux,hacssmv7_norecovery,ogbench:cube-single.occ,5,1.368989682197571,1.3450101137161254,-0.01776212028384396,-0.015399054777449466,0,0,
hacsmv4_two_noaux,hacssmv7_norecovery,__overall__,25,,,-0.014315246265808518,-0.00897323877780105,8,0,1
hacsmv4_two_noaux,hacssmv7_noaction,dmc:reacher.hard.occ,5,0.8308597564697265,0.8277790188789368,-0.0037121671363696397,-0.0027368742588342316,1,0,
