metric,candidate,reference,env,n_pairs,candidate_mean_mse,reference_mean_mse,mean_paired_relative_reduction,median_paired_relative_reduction,paired_wins,paired_ties,environment_mean_wins
clean_mse_first_post,hacssmv7,hacsmv4_two_noaux,dmc:cheetah.run.occ,5,0.5540997624397278,0.5639344334602356,0.01741608037896129,0.017133339168397294,4,0,
clean_mse_first_post,hacssmv7,hacsmv4_two_noaux,ogbench:cube-single.occ,5,1.3518219232559203,1.368989682197571,0.01241025344338338,0.010192164407192039,4,0,
clean_mse_first_post,hacssmv7,hacsmv4_two_noaux,__overall__,25,,,0.012980666579861315,0.010398047216472731,17,0,4
clean_mse_recovery,hacssmv7,hacsmv4_two_noaux,dmc:reacher.hard.occ,5,0.25924264192581176,0.26032729148864747,0.004164000588259705,0.0027904038147965396,5,0,
clean_mse_recovery,hacssmv7,hacsmv4_two_noaux,dmc:ball_in_cup.catch.occ,5,0.7736517429351807,0.7809509038925171,0.009357412305406291,0.007324654441891228,5,0,
clean_mse_recovery,hacssmv7,hacsmv4_two_noaux,dmc:finger.spin.occ,5,0.37828861474990844,0.3707343637943268,-0.020371021328394377,-0.020315180338607925,0,0,
clean_mse_recovery,hacssmv7,hacsmv4_two_noaux,dmc:cheetah.run.occ,5,0.18237332999706268,0.18574422001838684,0.018199948610192057,0.016884074318200673,5,0,
clean_mse_recovery,hacssmv7,hacsmv4_two_noaux,ogbench:cube-single.occ,5,0.7236898899078369,0.7154642105102539,-0.011504929166955304,-0.01180306359912606,0,0,
clean_mse_recovery,hacssmv7,hacsmv4_two_noaux,__overall__,25,,,-3.0917798298325104e-05,0.002619825949374316,15,0,3
clean_mse_late_post,hacssmv7,hacsmv4_two_noaux,dmc:reacher.hard.occ,5,0.2578652918338776,0.2567394196987152,-0.004383894633222527,-0.004429203148021805,0,0,
clean_mse_late_post,hacssmv7,hacsmv4_two_noaux,dmc:ball_in_cup.catch.occ,5,0.7138774514198303,0.7167074084281921,0.003945298274110643,0.004821795341426793,4,0,
clean_mse_late_post,hacssmv7,hacsmv4_two_noaux,dmc:finger.spin.occ,5,0.3607757091522217,0.3487864792346954,-0.03437884405221455,-0.03380103679599644,0,0,
clean_mse_late_post,hacssmv7,hacsmv4_two_noaux,dmc:cheetah.run.occ,5,0.17210837602615356,0.17042737901210786,-0.00986879125406777,-0.008300097051715197,0,0,
clean_mse_late_post,hacssmv7,hacsmv4_two_noaux,ogbench:cube-single.occ,5,0.6777803063392639,0.6653374314308167,-0.018700989539288577,-0.01830969340470167,0,0,
clean_mse_late_post,hacssmv7,hacsmv4_two_noaux,__overall__,25,,,-0.012677444240936557,-0.008300097051715197,4,0,1
clean_mse_all,hacssmv7,hacsmv4_two_noaux,dmc:reacher.hard.occ,5,0.343371719121933,0.34244203567504883,-0.0027298981965510186,-0.0012927230393084367,2,0,
clean_mse_all,hacssmv7,hacsmv4_two_noaux,dmc:ball_in_cup.catch.occ,5,0.7397377371788025,0.7533604979515076,0.01807422960670488,0.01837656757199682,5,0,
