run,env,design,seed,rho_fast_learned,rho_medium_learned,rho_fast_functional,rho_medium_functional,static_gate_fast,static_gate_medium,route_fast_learned,route_medium_learned,route_fast_functional,route_medium_functional,action_head_fast_l2,action_head_medium_l2,action_head_fast_d_l2,action_head_fast_v_l2,action_head_medium_d_l2,action_head_medium_v_l2,action_head_cosine,infl_all,infl_fast,infl_slow,student_teacher_memory_total_l2,student_memory_total_delta_l2_vs_noaux,teacher_memory_total_delta_l2_vs_noaux,student_teacher_action_l2,student_action_delta_l2_vs_noaux,teacher_action_delta_l2_vs_noaux,student_teacher_gate_l2,student_gate_delta_l2_vs_noaux,teacher_gate_delta_l2_vs_noaux,student_teacher_shrink_l2,student_shrink_delta_l2_vs_noaux,teacher_shrink_delta_l2_vs_noaux,student_teacher_route_l2,student_route_delta_l2_vs_noaux,teacher_route_delta_l2_vs_noaux,student_teacher_input_l2,student_input_delta_l2_vs_noaux,teacher_input_delta_l2_vs_noaux,student_teacher_output_l2,student_output_delta_l2_vs_noaux,teacher_output_delta_l2_vs_noaux,predictor_delta_l2_vs_noaux,active_aux_epochs,active_train_hier_loss_mean,active_train_hier_loss_fast_mean,active_train_hier_loss_medium_mean,active_train_hier_loss_bridge_mean,active_train_hier_loss_recovery_mean,active_weighted_aux_term_mean,final_val_hier_loss,final_val_bridge,final_val_recovery
lewm-dmc:finger.spin.occ-hacssmv7-s1,dmc:finger.spin.occ,hacssmv7,1,0.6046826923096922,0.5317891397636199,0.6046826923096922,0.5317891397636199,0.8450217035634211,0.8863678533753716,0.5380330481316616,0.4619669518683383,0.5380330481316616,0.4619669518683383,3.6437205621039483,3.781022455185053,3.0573713071841784,1.9822159884094421,3.351258843992886,1.7507698212994969,0.7690125548140021,2.0936098098754883,0.411915123462677,0.2873537242412567,0.2985948457350926,0.42637042677095516,0.40909110811696203,0.19765748714431747,0.31494938236713493,0.30718978614545017,0.08090852530977721,0.10716783769489997,0.10330019522716827,0.010378936374854826,0.006402418691107577,0.005783198392788764,0.004085989449161389,0.0008179228156266651,0.0005701520299432468,0.052791334064294544,0.07108357636007899,0.06684596797640031,0.20157595993871635,0.25694191394990135,0.24045142087876267,2.353491968107077,99,0.05875394943637478,0.03836330944958627,0.07914458927264652,0.07491137445240577,0.042596524602218244,0.0008904054028397807,0.05745006829500198,0.07267110745112101,0.042229030728340146
lewm-dmc:finger.spin.occ-hacssmv7_noaux-s2,dmc:finger.spin.occ,hacssmv7_noaux,2,0.6089772050203243,0.5348681872273698,0.6089772050203243,0.5348681872273698,0.8444705163651627,0.8868173053205575,0.542558655299827,0.45744134470017295,0.542558655299827,0.45744134470017295,3.7012382828771284,3.86757584351345,3.163758963403751,1.9208836633481114,3.4413457052866163,1.7650163291126046,0.7712441208624464,2.191136598587036,0.4271068274974823,0.2957930564880371,0.29427120188603545,0.0,0.0,0.19247507537786449,0.0,0.0,0.07549853000807111,0.0,0.0,0.009536724566836404,0.0,0.0,0.0037352960594143666,0.0,0.0,0.0546608425688703,0.0,0.0,0.20188152050622074,0.0,0.0,0.0,0,,,,,,0.0,0.056356598436832425,0.07125390777985255,0.04145928750435511
lewm-dmc:finger.spin.occ-hacssmv7_sharedaction-s2,dmc:finger.spin.occ,hacssmv7_sharedaction,2,0.6135266728479247,0.5329263590887275,0.6135266728479247,0.5329263590887275,0.8397310477727971,0.8883309339435843,0.548925692556475,0.451074307443525,0.548925692556475,0.451074307443525,3.7920262130281666,3.7920262130281666,3.3211049696599533,1.8302252814319637,3.3211049696599533,1.8302252814319637,1.0000000000000016,2.2019872665405273,0.4303203523159027,0.29774776101112366,0.30259827172154746,1.9598345135713808,1.8989280429127577,0.19366327292679061,1.923339583206985,1.865129853166376,0.0811186525207734,0.2124852816963676,0.20799952852966064,0.010594095296662626,0.020674995509175984,0.019494823434670797,0.004710679501077732,0.018160950582798707,0.017185567141135342,0.05773076577432777,0.0971086960591507,0.08966487681467007,0.20979215502005302,0.2939027031204096,0.2742979349659543,2.1771614144080833,99,0.057360386979733786,0.03815385973965279,0.07656691430343522,0.07308414048284259,0.041636633547702355,0.0008748219094527512,0.05381472031275431,0.06829776962598165,0.0393316720922788
lewm-dmc:finger.spin.occ-hacssmv7_noshrink-s2,dmc:finger.spin.occ,hacssmv7_noshrink,2,0.5,0.5,1.0,1.0,0.8490099018008745,0.8861262221009311,0.5696436309484476,0.43035636905155245,0.5696436309484476,0.43035636905155245,3.879296745957909,3.7012249990059796,3.3161761698740326,2.0129378662937465,3.280042895361252,1.7147551130867036,0.8005785656196251,2.276294708251953,0.47693437337875366,0.30213674902915955,0.2657880844072981,1.2609971666621935,1.2085567153790755,0.1697371914275406,0.6979568116957803,0.6723517881593317,0.03242634561907128,0.6721987113808303,0.6307790320417005,0.0,0.4645193465247268,0.45502456075678127,0.006188421766854571,0.07760482357571513,0.07515169786827493,0.06919912926712424,0.29950011061498444,0.2863479544576804,0.18961621163205264,0.5827675244547583,0.5621209303849664,5.0714453984745855,99,0.059237265961472566,0.0380316607708448,0.08044287113328574,0.07432594660807539,0.04414858539849018,0.0008898293236636459,0.057297017176946005,0.06953608423471451,0.04505795493721962
lewm-dmc:finger.spin.occ-hacssmv7_actiononly-s2,dmc:finger.spin.occ,hacssmv7_actiononly,2,0.6083249211388849,0.5351382260417917,0.6083249211388849,0.5351382260417917,0.844744628920074,0.886964227969122,0.5427262463713614,0.4572737536286387,0.5427262463713614,0.4572737536286387,3.6814067011555798,3.8208311902101966,3.1395136702880184,1.9225527855920777,3.392777871392365,1.7572163496488882,0.7657125095099652,2.189547538757324,0.42622432112693787,0.2947535216808319,0.2905073085762271,0.4181169083164509,0.4048564656705389,0.19044313075865782,0.32285108020017667,0.3166938829686641,0.07365024077327333,0.14508416363541396,0.14070021816360395,0.0092449537125745,0.0029457329554199866,0.002747282592046917,0.003617917086311527,0.0004774921834920462,0.0005948711565948861,0.05363666435561731,0.058176489959010085,0.05477011922745565,0.19931407893245934,0.21481644529811533,0.20201367156868713,2.064631079358668,99,0.05471964844833855,0.034464626597067054,0.0749746701783604,0.0547196483814422,0.0,0.0007861479299879568,0.057024328311284386,0.05702432672182719,0.0
lewm-dmc:finger.spin.occ-hacssmv7_uniform-s2,dmc:finger.spin.occ,hacssmv7_uniform,2,0.6080795373737863,0.5358786330741598,0.6080795373737863,0.5358786330741598,0.8434048202800656,0.8866114344185836,0.5421058669001423,0.4578941330998577,0.5421058669001423,0.4578941330998577,3.675192397570883,3.8692555022000503,3.1177163021245997,1.9459918341630642,3.4449910458356583,1.7615830481182273,0.7545344443757371,2.189175605773926,0.4274651110172272,0.2956550121307373,0.2888885330083794,0.4278739186920593,0.4151378156708772,0.18930603275893368,0.33052207991296534,0.32519180536809017,0.07526076658146252,0.15151289710150673,0.15000606384347887,0.009473133664934366,0.00554077263113941,0.005354183063998857,0.0035747481767242437,0.0012899253721001672,0.0011293774894100442,0.05327224475173145,0.06185046258054798,0.05820184109601243,0.19752259701494557,0.21683459873500638,0.20166923279185067,2.055887124818186,99,0.07772984591079615,0.10702161126332117,0.04843808072133096,0.11349484852936399,0.041964843398844355,0.001162071363880449,0.07501600861549378,0.1099477861324946,0.04008422573407491
lewm-dmc:finger.spin.occ-hacssmv7_norecovery-s2,dmc:finger.spin.occ,hacssmv7_norecovery,2,0.6086430154306811,0.5359666705598706,0.6086430154306811,0.5359666705598706,0.8433764468793562,0.8866734264047756,0.5430066255180798,0.45699337448192023,0.5430066255180798,0.45699337448192023,3.74079164979536,3.826904275652389,3.2036303435629856,1.931391930443224,3.4050240195644625,1.746713417019407,0.7714742438196348,2.19771146774292,0.4274635314941406,0.2949957847595215,0.29227999207737976,0.4316966776181573,0.41828849596864925,0.19147416798717118,0.32401638658484605,0.318101020094837,0.07778379014468156,0.12897421671653225,0.1277065129155392,0.009749545657264784,0.004633668619047356,0.004506253312001264,0.0034243366111009906,0.0012763962337281702,0.0015873556820415464,0.05422685989965826,0.07174165620500103,0.06795215483242645,0.19916723298970512,0.24407189269999655,0.22984284211162373,2.2824439217321935,99,0.07387384370086436,0.0541415450180955,0.09360614241708141,0.0738738437468556,0.0,0.0011107467258320975,0.0706164304415385,0.07061643153429031,0.0
lewm-dmc:finger.spin.occ-hacssmv7_noaction-s2,dmc:finger.spin.occ,hacssmv7_noaction,2,0.6090593243355941,0.5481800879772917,0.6090593243355941,0.5481800879772917,0.8435547896158027,0.8855515403688065,0.5038442000896032,0.4961557999103969,0.5038442000896032,0.4961557999103969,0.0,0.0,0.0,0.0,0.0,0.0,,2.1586971282958984,0.39056482911109924,0.3225824534893036,0.22367537573062246,5.613192200027763,5.450463308205631,0.0,5.353252070654253,5.208200148245273,0.07991243027365769,0.588844663122264,0.5703364341411211,0.009837125385429116,0.05362179021441934,0.052033699280834685,0.0018842255706066323,0.10979277283709027,0.10417325120706927,0.060431091414541414,0.5369780147151763,0.5075148431626488,0.1997309216035181,1.4834438875671698,1.4091795320847775,8.010473148216349,99,0.05709120634562774,0.038278241151594686,0.07590417163373378,0.07286446091251743,0.04131795194597892,0.000874633229699931,0.051139550556739174,0.06477426826953887,0.03750483438372612
lewm-dmc:finger.spin.occ-hacssmv7_single-s2,dmc:finger.spin.occ,hacssmv7_single,2,0.5500671493594143,0.5463339324711315,0.5500671493594143,0.5463339324711315,0.8700210870139219,0.8876525346182484,0.5,0.5,0.0,1.0,3.0758950260234403,3.771707818206471,1.2838091253577693,2.7951680344415544,3.1774151851597634,2.032194037742452,-0.18038342775532668,2.063518524169922,0.0,2.063518524169922,0.23961435376262316,5.759778398364258,5.6554141507852025,0.12134035692696085,5.154159519838081,5.062913485223913,0.06427121482561603,1.8730736464721622,1.857363314827796,0.00566674770352962,0.24643649165509393,0.2374339126792981,0.0,0.12066602689162875,0.11693073083221439,0.060208662120634374,0.790085125305686,0.7794192782348807,0.18682497753476277,1.549760051596089,1.491065291925181,8.439319072164993,99,0.07208942018206807,0.04251200791686673,0.10166683247862708,0.09201556290306494,0.05216327735654566,0.0010570812195347858,0.07286635249853134,0.0930616142352422,0.05267109284798304
lewm-dmc:finger.spin.occ-hacssmv7-s2,dmc:finger.spin.occ,hacssmv7,2,0.608352578685753,0.535534355623555,0.608352578685753,0.535534355623555,0.8431675011980497,0.8868384343535488,0.5422403881018969,0.45775961189810305,0.5422403881018969,0.45775961189810305,3.721968570504446,3.8273012456367903,3.186206608322512,1.9238340596072383,3.4102527699161116,1.7373574387938757,0.7695533346784938,2.1812875270843506,0.4245862066745758,0.2939467132091522,0.2921332238588202,0.3684580795551966,0.3561649707757323,0.19149590213333026,0.27228461363988626,0.2669420494506567,0.07606068593659236,0.14157804755809433,0.1401467875457116,0.009548071976286335,0.0037480934931234957,0.0037239145034710535,0.0035812598648191766,0.000906715688726991,0.000752679494131801,0.05486132278266933,0.05374405081779952,0.05008542104120486,0.1994295769563699,0.19665911796212204,0.18284234497745253,1.9656841467399035,99,0.05805907143419974,0.03764044820183656,0.07847769458085198,0.07395321537984073,0.04216492732131789,0.0008810203431317883,0.05637650723258654,0.07126703679561615,0.04148598030209541
lewm-dmc:finger.spin.occ-hacssmv7_noaux-s3,dmc:finger.spin.occ,hacssmv7_noaux,3,0.6077443358758342,0.529031550725078,0.6077443358758342,0.529031550725078,0.8449571696392856,0.887934474918459,0.546315296014466,0.45368470398553395,0.546315296014466,0.45368470398553395,3.736401477955889,3.842311385075482,3.24263512265613,1.8563441129779303,3.4546472562142165,1.6818945017486258,0.7982397340675921,2.0825355052948,0.4158318340778351,0.28189846873283386,0.28865230873367964,0.0,0.0,0.1865784829856442,0.0,0.0,0.08504357226798467,0.0,0.0,0.010809001607716365,0.0,0.0,0.004755745018848005,0.0,0.0,0.05230864794439325,0.0,0.0,0.19596063268868283,0.0,0.0,0.0,0,,,,,,0.0,0.05457577377557755,0.06947535534699757,0.03967618738611539
lewm-dmc:finger.spin.occ-hacssmv7_sharedaction-s3,dmc:finger.spin.occ,hacssmv7_sharedaction,3,0.6104860400421716,0.5272561639849945,0.6104860400421716,0.5272561639849945,0.8409620716410915,0.8892471763586294,0.5506935469183609,0.4493064530816392,0.5506935469183609,0.4493064530816392,3.8326460918968075,3.8326460918968075,3.4086084954900677,1.7523025395760878,3.4086084954900677,1.7523025395760878,1.0000000000000004,2.0975639820098877,0.4177786707878113,0.28467047214508057,0.2948440346081131,1.857471389910803,1.8049814919039313,0.19080348697457195,1.823818597132506,1.7740866039487027,0.08461143810726503,0.1823951757618627,0.17734267202407947,0.010940890568532794,0.013540841096507408,0.01285256888056523,0.005960744491198721,0.012501292640649683,0.011296293168298967,0.053585196475741746,0.0945933720288458,0.08770407406460698,0.20085151680056884,0.28518440739723494,0.26672023753580554,2.331271230704131,99,0.056814665056338615,0.03805012272213043,0.07557920754942563,0.07254213684235358,0.04108719337903022,0.0008681608924343069,0.053265305906534194,0.06795186539491017,0.0385787495970726
lewm-dmc:finger.spin.occ-hacssmv7_noshrink-s3,dmc:finger.spin.occ,hacssmv7_noshrink,3,0.5,0.5,1.0,1.0,0.8488798697581155,0.8868485071204123,0.5709421466570158,0.42905785334298413,0.5709421466570158,0.42905785334298413,3.9520966002637916,3.7481475810175047,3.4221483395781993,1.97685818402302,3.3631603145811066,1.654618683417445,0.821847437882578,2.173370838165283,0.46387940645217896,0.29103875160217285,0.2762314157747999,1.1288337796155108,1.0766781457442223,0.1788248621812714,0.6180269447015143,0.5949882862219374,0.04598826810190787,0.5827379166923573,0.5445440050764598,0.0,0.4530120885233418,0.44224842932508857,0.007759319104552613,0.07064160575597267,0.06763803167026806,0.06900924469306978,0.26758241530001775,0.25069480436924624,0.19335992355633697,0.5204943614326176,0.495671397006844,4.979918591039491,99,0.05846279620388408,0.037917280665836085,0.07900831166458318,0.07364411701842323,0.04328147547505587,0.0008807829258118986,0.056897339125474296,0.06939612696568172,0.044398547559976576
lewm-dmc:finger.spin.occ-hacssmv7_actiononly-s3,dmc:finger.spin.occ,hacssmv7_actiononly,3,0.6070150494671048,0.5293857955663266,0.6070150494671048,0.5293857955663266,0.8452690493243745,0.8878727532194436,0.5453498465610231,0.4546501534389768,0.5453498465610231,0.4546501534389768,3.7330804502860726,3.7974230604398276,3.2389094486534127,1.8561668113970036,3.414257300030019,1.662308331553417,0.7936806379799327,2.0884158611297607,0.41568106412887573,0.28283604979515076,0.29430993542579037,0.36546091775681633,0.35266184920282356,0.1921879560701468,0.2751797409300247,0.27178882617713096,0.084974770132911,0.09190046505007217,0.08956289177396323,0.01094126839053615,0.0033725602007407115,0.0035649679633299697,0.004939147030143161,0.0027538434715654327,0.002937245482860588,0.05230105866194535,0.05770260480683969,0.05391708028466326,0.198952026398908,0.21457760529759767,0.19887512240466068,2.251242828602899,99,0.05459515862877655,0.03439153577007696,0.07479878145402798,0.05459515854515612,0.0,0.0007857374048270905,0.05644253050287565,0.05644253050287565,0.0
lewm-dmc:finger.spin.occ-hacssmv7_uniform-s3,dmc:finger.spin.occ,hacssmv7_uniform,3,0.6046485322529817,0.5300579706718193,0.6046485322529817,0.5300579706718193,0.8446562425703444,0.8875659355549746,0.5437733803463926,0.45622661965360756,0.5437733803463926,0.45622661965360756,3.7096887841422657,3.857463300518448,3.182500130107381,1.906169928694037,3.4654929001234955,1.6942201964444616,0.779102919128616,2.0917346477508545,0.41784200072288513,0.28571420907974243,0.2921247673995289,0.5198629266745765,0.505604553954489,0.19229446229922556,0.3995087257193518,0.3949741539533526,0.08277819078403555,0.21206172319666017,0.20634473646685414,0.010384232249519842,0.013607021276914572,0.013241090367851135,0.004636585341395581,0.007248467690464194,0.007129308013011769,0.053702665232154306,0.0686677648573234,0.06343495677010533,0.19619934804103084,0.24642871772021238,0.22978921901054564,2.3750539155664194,99,0.07963757946936771,0.11135460007371324,0.047920558931918524,0.117622769231815,0.04165238939125329,0.001189650591597627,0.07508643209934235,0.11091884861389796,0.039254016677538556
