run_name,env,seed,episode,condition,rho_fast,rho_medium,mse_pre,mse_blackout_transition,mse_deep_blackout,mse_first_post,mse_recovery,mse_late_post,mse_all
lewm-dmc:ball_in_cup.catch.occ-hacssmv7-s0,dmc:ball_in_cup.catch.occ,0,10,learned,0.6077926158905029,0.5542831420898438,0.9015193794454847,0.5685330530007681,1.2134010195732117,0.552451491355896,1.7901600003242493,0.6641048938035965,0.8421576891479821
lewm-dmc:ball_in_cup.catch.occ-hacssmv7-s0,dmc:ball_in_cup.catch.occ,0,11,learned,0.6077926158905029,0.5542831420898438,0.8483525621039527,1.8284614086151123,0.9223338961601257,0.5240968465805054,0.7171227037906647,0.7085876350219433,0.8745115640862234
lewm-dmc:ball_in_cup.catch.occ-hacssmv7-s0,dmc:ball_in_cup.catch.occ,0,12,learned,0.6077926158905029,0.5542831420898438,0.5161387899092266,0.6750012437502543,1.0980807145436604,0.5900975465774536,0.31895674765110016,1.0522372997724092,0.8220452876954243
lewm-dmc:ball_in_cup.catch.occ-hacssmv7-s0,dmc:ball_in_cup.catch.occ,0,13,learned,0.6077926158905029,0.5542831420898438,0.3788739698273795,0.42696361740430194,0.8519689242045084,0.5821066498756409,0.9319956749677658,0.7454457328869746,0.6422692393434459
lewm-dmc:ball_in_cup.catch.occ-hacssmv7-s0,dmc:ball_in_cup.catch.occ,0,14,learned,0.6077926158905029,0.5542831420898438,0.7537208923271724,1.2240815162658691,0.6556147336959839,3.187779664993286,1.575909823179245,0.5885698932867783,0.8588325144915745
lewm-dmc:ball_in_cup.catch.occ-hacssmv7-s0,dmc:ball_in_cup.catch.occ,0,15,learned,0.6077926158905029,0.5542831420898438,0.5340634754725865,0.7917879621187845,1.1771808862686157,1.3051609992980957,0.869495689868927,0.7196716482822711,0.760180506212958
lewm-dmc:ball_in_cup.catch.occ-hacssmv7-s0,dmc:ball_in_cup.catch.occ,0,16,learned,0.6077926158905029,0.5542831420898438,0.8729694570813861,0.6553751428922018,1.1427708466847737,0.44584301114082336,0.6101263016462326,0.6536925744551879,0.747218043125909
lewm-dmc:ball_in_cup.catch.occ-hacssmv7-s0,dmc:ball_in_cup.catch.occ,0,17,learned,0.6077926158905029,0.5542831420898438,0.3960010068757193,0.5267480909824371,1.161370317141215,0.41831958293914795,0.34543928503990173,0.8093258830217215,0.671268858786287
lewm-dmc:ball_in_cup.catch.occ-hacssmv7-s0,dmc:ball_in_cup.catch.occ,0,18,learned,0.6077926158905029,0.5542831420898438,0.6146317166941506,0.48535345991452533,0.4982631703217824,3.1366143226623535,1.093037098646164,0.459365460735101,0.6395762557613438
lewm-dmc:ball_in_cup.catch.occ-hacssmv7-s0,dmc:ball_in_cup.catch.occ,0,19,learned,0.6077926158905029,0.5542831420898438,0.7004718376057488,0.866859237353007,1.4742718140284221,0.5877264738082886,0.6295818984508514,0.699453381391672,0.7884993188340088
lewm-dmc:ball_in_cup.catch.occ-hacssmv7-s0,dmc:ball_in_cup.catch.occ,0,20,learned,0.6077926158905029,0.5542831420898438,0.6679190397262573,0.7476001977920532,1.9441275993982952,0.487235426902771,1.1675996780395508,0.797854524392348,0.8946606989564567
lewm-dmc:ball_in_cup.catch.occ-hacssmv7-s0,dmc:ball_in_cup.catch.occ,0,21,learned,0.6077926158905029,0.5542831420898438,0.41500847254480633,0.4377237806717555,0.7042353351910909,0.2177640199661255,0.4318159967660904,0.5688153608487203,0.5105838744804777
