run_name,env,seed,condition,rho_fast,rho_medium,episodes,length,history_len,checkpoint_sha256,val_feature_sha256,native_recurrence_max_abs,static_gate_fast,static_gate_medium,route_fast,route_medium,action_head_fast_norm,action_head_medium_norm,action_head_cosine,mse_pre,mse_blackout_transition,mse_deep_blackout,mse_first_post,mse_recovery,mse_late_post,mse_all
lewm-dmc:cheetah.run.occ-hacssmv7-s4,dmc:cheetah.run.occ,4,rho00,0.0,0.0,150,32,3,db90ee8867b1cd7871897cfd78ad5b36dfccedc6af86947541b4ef9fac744f25,371fe1e7db5292eaae7a784fe4be93b06ef70d5ff0366240122e206afb15e775,0.0,0.833665668964386,0.8581328392028809,0.5452307462692261,0.4547693431377411,4.621852397918701,3.746295690536499,0.6406219005584717,0.1489556642160529,0.36202632154855463,0.736958090050353,0.8170431582132975,0.1862245064849655,0.17281706067040944,0.2681295463519877
lewm-dmc:cheetah.run.occ-hacssmv7-s4,dmc:cheetah.run.occ,4,rho11,1.0,1.0,150,32,3,db90ee8867b1cd7871897cfd78ad5b36dfccedc6af86947541b4ef9fac744f25,371fe1e7db5292eaae7a784fe4be93b06ef70d5ff0366240122e206afb15e775,0.0,0.833665668964386,0.8581328392028809,0.5452307462692261,0.4547693431377411,4.621852397918701,3.746295690536499,0.6406219005584717,0.14870089816905202,0.4211047736803691,0.7166226207547718,0.8003084367513656,0.20815283354371786,0.17689896836685828,0.2748410056240257
lewm-dmc:cheetah.run.occ-hacssmv7-s4,dmc:cheetah.run.occ,4,rho01,0.0,1.0,150,32,3,db90ee8867b1cd7871897cfd78ad5b36dfccedc6af86947541b4ef9fac744f25,371fe1e7db5292eaae7a784fe4be93b06ef70d5ff0366240122e206afb15e775,0.0,0.833665668964386,0.8581328392028809,0.5452307462692261,0.4547693431377411,4.621852397918701,3.746295690536499,0.6406219005584717,0.14889692284166814,0.36110670352147684,0.6356230058272679,0.7333556802074115,0.17915300972759723,0.1720955938559312,0.2538404140595732
lewm-dmc:cheetah.run.occ-hacssmv7-s4,dmc:cheetah.run.occ,4,rho10,1.0,0.0,150,32,3,db90ee8867b1cd7871897cfd78ad5b36dfccedc6af86947541b4ef9fac744f25,371fe1e7db5292eaae7a784fe4be93b06ef70d5ff0366240122e206afb15e775,0.0,0.833665668964386,0.8581328392028809,0.5452307462692261,0.4547693431377411,4.621852397918701,3.746295690536499,0.6406219005584717,0.14867663795039768,0.402059171208077,0.6282024359371927,0.646213237742583,0.1947450440004468,0.17361760126665618,0.256008738941331
lewm-dmc:finger.spin.occ-hacssmv7-s0,dmc:finger.spin.occ,0,learned,0.6049289703369141,0.5305179357528687,150,32,3,c2047cd6b1598b8bbbdd83180f5ebfb0bd7be1a38b21961204f3a237c357f422,ee092c09ab7d7dd725b0c9e38f615296f055ac40d8b01a3a75f9dd87ba0297d7,0.0,0.8442884683609009,0.8873060941696167,0.5396386981010437,0.4603613018989563,3.727914333343506,3.6597225666046143,0.8019357919692993,0.35875337974656196,0.715781798776653,1.1187930681308111,1.1302779544393222,0.37261045547823113,0.36080439614179804,0.5027915266961202
lewm-dmc:finger.spin.occ-hacssmv7-s0,dmc:finger.spin.occ,0,rho00,0.0,0.0,150,32,3,c2047cd6b1598b8bbbdd83180f5ebfb0bd7be1a38b21961204f3a237c357f422,ee092c09ab7d7dd725b0c9e38f615296f055ac40d8b01a3a75f9dd87ba0297d7,0.0,0.8442884683609009,0.8873060941696167,0.5396386981010437,0.4603613018989563,3.727914333343506,3.6597225666046143,0.8019357919692993,0.3587275428218501,0.6824644064075417,1.1102041676474943,1.5647276732325555,0.3781275349110365,0.3610157950184284,0.5139064344900778
lewm-dmc:finger.spin.occ-hacssmv7-s0,dmc:finger.spin.occ,0,rho11,1.0,1.0,150,32,3,c2047cd6b1598b8bbbdd83180f5ebfb0bd7be1a38b21961204f3a237c357f422,ee092c09ab7d7dd725b0c9e38f615296f055ac40d8b01a3a75f9dd87ba0297d7,0.0,0.8442884683609009,0.8873060941696167,0.5396386981010437,0.4603613018989563,3.727914333343506,3.6597225666046143,0.8019357919692993,0.3587745665723369,0.7399805414676667,1.2600970743099849,1.2593768323461214,0.3757237503677607,0.36094935949796286,0.5246489937894646
lewm-dmc:finger.spin.occ-hacssmv7-s0,dmc:finger.spin.occ,0,rho01,0.0,1.0,150,32,3,c2047cd6b1598b8bbbdd83180f5ebfb0bd7be1a38b21961204f3a237c357f422,ee092c09ab7d7dd725b0c9e38f615296f055ac40d8b01a3a75f9dd87ba0297d7,0.0,0.8442884683609009,0.8873060941696167,0.5396386981010437,0.4603613018989563,3.727914333343506,3.6597225666046143,0.8019357919692993,0.3587356921249912,0.6968979291452302,1.086173602210151,1.1888220544656118,0.3733022375156482,0.3609415643490278,0.4995872863784604
lewm-dmc:finger.spin.occ-hacssmv7-s0,dmc:finger.spin.occ,0,rho10,1.0,0.0,150,32,3,c2047cd6b1598b8bbbdd83180f5ebfb0bd7be1a38b21961204f3a237c357f422,ee092c09ab7d7dd725b0c9e38f615296f055ac40d8b01a3a75f9dd87ba0297d7,0.0,0.8442884683609009,0.8873060941696167,0.5396386981010437,0.4603613018989563,3.727914333343506,3.6597225666046143,0.8019357919692993,0.35876497069994606,0.7269611838625537,1.172261073688666,1.145276938676834,0.3733521795272827,0.3607190686311477,0.5100120950858483
lewm-dmc:finger.spin.occ-hacssmv7-s1,dmc:finger.spin.occ,1,learned,0.6046826839447021,0.5317891240119934,150,32,3,a0a1ea475762bdaa262b00bae8cc6d65a5b2c0b285119d457a06898c41bedba1,ee092c09ab7d7dd725b0c9e38f615296f055ac40d8b01a3a75f9dd87ba0297d7,0.0,0.845021665096283,0.8863677978515625,0.5380330681800842,0.46196696162223816,3.643720865249634,3.781022548675537,0.7690123915672302,0.35959467909165793,0.7592003471155961,1.1551527237229877,1.144608126580715,0.3818781291693449,0.3607233544993095,0.5123444813644064
