task,seed,design,heldout_prior_state_nmse,clean_prior_state_nmse,val_predictive_loss,deep_prior_state_nmse,encoder_mean_channel_variance,encoder_covariance_effective_rank,predictive_loss_convergence_relative_change,initial_encoder_integrator_probe_nmse
manipulator.bring_ball,18002,vicreg_hacssmv8_dynamic,0.9442618403365203,0.8894505834908852,0.05075824484229088,0.9456469879548318,0.22828578008073333,55.88227321485471,0.019052559790639256,0.826768139303851
manipulator.bring_ball,18002,vicreg_hacssmv8_noaction,0.9962750795451191,0.9211963273230053,0.05294579416513443,0.995658192556919,0.2299953663079129,56.4002835492247,0.011410542649989046,0.8193126610605495
manipulator.bring_ball,18002,vicreg_hacssmv8_single,0.9404154916895405,0.9041644439740716,0.05488517756263415,0.9397543388689832,0.22825605312913388,56.707702829351916,0.011207484312905473,0.8237703088662953
manipulator.bring_ball,18003,vicreg_none,1.0346895922730523,0.9210977907008384,0.07150398592154185,1.0360696629151687,0.23678079247809522,58.083186150780435,-0.016217640240446498,0.8302955135667531
manipulator.bring_ball,18003,vicreg_gru,0.9711685269846363,0.926020045216682,0.05613997106750806,0.9736770928943396,0.227988432254921,54.62552695713887,-0.016303544573570986,0.8316347526150739
manipulator.bring_ball,18003,vicreg_ssm,0.9610266301702723,0.9236294367010631,0.06174679497877757,0.9609133810033134,0.22489125295231283,55.3984073207532,-0.005011131019624338,0.8298681796948304
manipulator.bring_ball,18003,vicreg_hacssmv8,0.960242050766984,0.8781829434307374,0.05357986763119697,0.9585702490625045,0.23687807675366232,55.358919316751575,-0.007230629479612393,0.8289193182331172
manipulator.bring_ball,18003,vicreg_hacssmv8_static,0.9566347472553776,0.8802649846923555,0.05628913069764773,0.9553430884326622,0.23489670125463713,55.62825484577833,-0.014826819686561268,0.8269769132241349
manipulator.bring_ball,18003,vicreg_hacssmv8_dynamic,0.9529956806069328,0.8924566990378883,0.051868889729181925,0.953468064994778,0.2391292901989253,54.92024260790695,-0.017991039189289362,0.8270689602295266
manipulator.bring_ball,18003,vicreg_hacssmv8_noaction,1.004618928475662,0.921114467053747,0.05455738877256711,1.0040012066844568,0.23813746474493314,55.47410292742223,-0.015871734728938526,0.8290179129801755
manipulator.bring_ball,18003,vicreg_hacssmv8_single,0.9462174653229676,0.9005661661802916,0.056157434235016505,0.9450335509296368,0.23274125301013388,55.60415879130611,-0.023800156470384057,0.8253327498276813
