run,env,design,seed,trainable_parameters,val_pred_loss,clean_mse_pre,clean_mse_blackout_transition,clean_mse_deep_blackout,clean_mse_first_post,clean_mse_recovery,clean_mse_late_post,clean_mse_all,clean_mse_first_post_ablated,clean_input_mse_first_post,last_visible_mse_first_post,constant_mse_first_post,persistence_mse_first_post,val_hier_loss,val_hier_loss_fast,val_hier_loss_medium,val_hier_loss_slow,val_hier_loss_h1,val_hier_loss_h2,val_hier_loss_h4,val_hier_loss_h8,val_hier_loss_h16,tau_fast,tau_slow,tau_fast_min,tau_fast_max,tau_medium_min,tau_medium_max
lewm-dmc:ball_in_cup.catch.occ-hacssmv5_static-s2,dmc:ball_in_cup.catch.occ,hacssmv5_static,2,851332,0.86601393699646,0.6135827302932739,0.8175360560417175,1.21631920337677,1.0238531827926636,0.7953484058380127,0.7214145064353943,0.7720546126365662,2.01719069480896,0.707868754863739,2.2903213500976562,1.2641915082931519,16.771806716918945,1.3727339998881023,1.249449446996053,1.4960186719894408,,1.2471957286198934,1.2517030970255534,1.3800324042638143,1.6120049397150675,,3.69276762008667,23.45407485961914,1.4123964309692383,8.683162689208984,6.5563859939575195,69.16004943847656
lewm-dmc:ball_in_cup.catch.occ-hacssmv5_static-s3,dmc:ball_in_cup.catch.occ,hacssmv5_static,3,851332,0.8773678731918335,0.609320342540741,0.8619332909584045,1.1741024255752563,1.0417520999908447,0.8139283657073975,0.7279824018478394,0.7760940790176392,1.692192554473877,0.7493324875831604,2.2903213500976562,1.2641915082931519,16.771806716918945,1.3700391451517742,1.249768501917521,1.4903098901112874,,1.2474604527155557,1.252076619466146,1.3761867793401081,1.6044329833984374,,3.691096305847168,22.91619300842285,1.3965715169906616,8.603048324584961,6.539861679077148,68.54082489013672
lewm-dmc:ball_in_cup.catch.occ-hacssmv5_static-s4,dmc:ball_in_cup.catch.occ,hacssmv5_static,4,851332,0.8777664963404338,0.6087830662727356,0.9262016415596008,1.2506028413772583,1.0509487390518188,0.7922042608261108,0.7160460352897644,0.7839947938919067,2.136239528656006,0.7223840951919556,2.2903213500976562,1.2641915082931519,16.771806716918945,1.3726258595784506,1.2510532649358113,1.4941984717051189,,1.2481718492507934,1.2539347314834595,1.3801395241419474,1.6082575384775797,,3.652920961380005,23.708757400512695,1.4007376432418823,8.635836601257324,6.530985355377197,68.47638702392578
lewm-dmc:ball_in_cup.catch.occ-none-s0,dmc:ball_in_cup.catch.occ,none,0,849280,0.9341869521141052,0.6089676022529602,1.03817617893219,1.2514828443527222,1.1559364795684814,0.7872143983840942,0.7225322723388672,0.8018977642059326,1.1559364795684814,0.7310249209403992,2.2903213500976562,1.2641915082931519,16.771806716918945,,,,,,,,,,2.999999761581421,25.000003814697266,,,,
lewm-dmc:ball_in_cup.catch.occ-none-s1,dmc:ball_in_cup.catch.occ,none,1,849280,0.9373809186617533,0.6159462332725525,1.036765217781067,1.2603693008422852,1.1602908372879028,0.7874664068222046,0.7219992280006409,0.8042842745780945,1.1602908372879028,0.7311017513275146,2.2903213500976562,1.2641915082931519,16.771806716918945,,,,,,,,,,2.999999761581421,25.000003814697266,,,,
lewm-dmc:ball_in_cup.catch.occ-none-s2,dmc:ball_in_cup.catch.occ,none,2,849280,0.9358271074295044,0.6019449234008789,1.047231912612915,1.2496066093444824,1.1569595336914062,0.7960585355758667,0.7288682460784912,0.8044307231903076,1.1569595336914062,0.7382649779319763,2.2903213500976562,1.2641915082931519,16.771806716918945,,,,,,,,,,2.999999761581421,25.000003814697266,,,,
lewm-dmc:ball_in_cup.catch.occ-none-s3,dmc:ball_in_cup.catch.occ,none,3,849280,0.9366741220156352,0.6193095445632935,1.036861538887024,1.2459105253219604,1.1556816101074219,0.7766479849815369,0.727860689163208,0.8053327798843384,1.1556816101074219,0.7423983812332153,2.2903213500976562,1.2641915082931519,16.771806716918945,,,,,,,,,,2.999999761581421,25.000003814697266,,,,
lewm-dmc:ball_in_cup.catch.occ-none-s4,dmc:ball_in_cup.catch.occ,none,4,849280,0.9386505111058553,0.6091052293777466,1.041092038154602,1.22523033618927,1.157670497894287,0.7771649360656738,0.7365975975990295,0.8051886558532715,1.157670497894287,0.7444645166397095,2.2903213500976562,1.2641915082931519,16.771806716918945,,,,,,,,,,2.999999761581421,25.000003814697266,,,,
lewm-dmc:ball_in_cup.catch.occ-ssm-s0,dmc:ball_in_cup.catch.occ,ssm,0,849536,0.8288770071665446,0.605799674987793,0.8986188769340515,1.0488492250442505,0.9605134129524231,0.7359508275985718,0.7202708125114441,0.7544461488723755,1.9117714166641235,0.6861554980278015,2.2903213500976562,1.2641915082931519,16.771806716918945,,,,,,,,,,,,,,,
lewm-dmc:ball_in_cup.catch.occ-ssm-s1,dmc:ball_in_cup.catch.occ,ssm,1,849536,0.8639159059524536,0.6226214170455933,0.8250374794006348,1.0758570432662964,1.0210813283920288,0.7632218599319458,0.7191835641860962,0.7571704983711243,1.6932886838912964,0.6833628416061401,2.2903213500976562,1.2641915082931519,16.771806716918945,,,,,,,,,,,,,,,
lewm-dmc:ball_in_cup.catch.occ-ssm-s2,dmc:ball_in_cup.catch.occ,ssm,2,849536,0.8252418327331543,0.6077770590782166,0.8045809268951416,0.9743828773498535,0.9510732293128967,0.773591935634613,0.7179804444313049,0.7387356758117676,1.5792969465255737,0.6963141560554504,2.2903213500976562,1.2641915082931519,16.771806716918945,,,,,,,,,,,,,,,
lewm-dmc:ball_in_cup.catch.occ-ssm-s3,dmc:ball_in_cup.catch.occ,ssm,3,849536,0.830980072816213,0.6089044213294983,0.8678458333015442,1.0849441289901733,0.9609342217445374,0.7664449214935303,0.7205725908279419,0.7579988837242126,1.4937500953674316,0.6876167058944702,2.2903213500976562,1.2641915082931519,16.771806716918945,,,,,,,,,,,,,,,
lewm-dmc:ball_in_cup.catch.occ-ssm-s4,dmc:ball_in_cup.catch.occ,ssm,4,849536,0.8148994779586792,0.6087908744812012,0.9016258120536804,1.0438381433486938,0.9286673069000244,0.7902768850326538,0.7196363210678101,0.7573249936103821,1.575720191001892,0.7205966711044312,2.2903213500976562,1.2641915082931519,16.771806716918945,,,,,,,,,,,,,,,
lewm-dmc:cheetah.run.occ-hacsmv4-s0,dmc:cheetah.run.occ,hacsmv4,0,851078,0.4010067550341288,0.1513655036687851,0.3786548674106598,0.6104848384857178,0.6152200102806091,0.1934720277786255,0.17188678681850433,0.2504713833332062,1.0652968883514404,0.16361407935619354,1.0144654512405396,0.6891944408416748,13.852587699890137,0.6782385921478271,0.5574189607302348,0.6825518067677816,0.7947449580828349,0.5281872248649597,0.586650722026825,0.6606973965962728,0.7044061915079752,0.7947449580828349,2.0,32.0,,,,
lewm-dmc:cheetah.run.occ-hacsmv4-s1,dmc:cheetah.run.occ,hacsmv4,1,851078,0.38934316317240397,0.15323123335838318,0.4142751693725586,0.6024153232574463,0.5909488797187805,0.1942180097103119,0.1743045151233673,0.25407013297080994,1.158586025238037,0.1645917445421219,1.0144654512405396,0.6891944408416748,13.852587699890137,0.6797537080446879,0.5582871182759603,0.6833462969462076,0.7976276071866354,0.5289658562342325,0.5876083461443583,0.6613277928034464,0.7053647756576538,0.7976276071866354,2.0,32.0,,,,
lewm-dmc:cheetah.run.occ-hacsmv4-s2,dmc:cheetah.run.occ,hacsmv4,2,851078,0.40039259910583497,0.1500365436077118,0.38774266839027405,0.6072140336036682,0.613538384437561,0.19552022218704224,0.17321862280368805,0.2514326572418213,1.1067413091659546,0.16206450760364532,1.0144654512405396,0.6891944408416748,13.852587699890137,0.6800875194867452,0.5579358394940694,0.6835771497090658,0.7987494929631551,0.5284633874893189,0.5874083169301351,0.6614892896016439,0.705665001074473,0.7987494929631551,2.0,32.0,,,,
lewm-dmc:cheetah.run.occ-hacsmv4-s3,dmc:cheetah.run.occ,hacsmv4,3,851078,0.4061249848206838,0.15084047615528107,0.404416561126709,0.6119350790977478,0.6254528760910034,0.1930800974369049,0.17144893109798431,0.25328922271728516,1.0155812501907349,0.16506701707839966,1.0144654512405396,0.6891944408416748,13.852587699890137,0.6792531792322795,0.5573757648468017,0.6830941851933797,0.7972894938786824,0.5279688866933187,0.5867826175689698,0.6609696976343791,0.7052186727523804,0.7972894938786824,2.0,32.0,,,,
lewm-dmc:cheetah.run.occ-hacsmv4-s4,dmc:cheetah.run.occ,hacsmv4,4,851078,0.3952709436416626,0.15255069732666016,0.3922802209854126,0.595186710357666,0.6038433313369751,0.18672917783260345,0.1729930192232132,0.25022298097610474,0.957868218421936,0.16422224044799805,1.0144654512405396,0.6891944408416748,13.852587699890137,0.6804894542694092,0.5577984031041463,0.6841382884979248,0.7995316036542257,0.5282738264401754,0.5873229710261026,0.6618232329686483,0.7064533352851867,0.7995316036542257,2.0,32.0,,,,
lewm-dmc:cheetah.run.occ-hacsmv4_noaux-s0,dmc:cheetah.run.occ,hacsmv4_noaux,0,851078,0.3852358595530192,0.1504431962966919,0.45037898421287537,0.6655780673027039,0.5852358937263489,0.18963441252708435,0.17252421379089355,0.26235494017601013,1.3185292482376099,0.16141168773174286,1.0144654512405396,0.6891944408416748,13.852587699890137,0.8361236445109049,0.6202888186772665,0.78392058690389,1.104161647160848,0.5876474046707153,0.652930223941803,0.742708036104838,0.8251331543922424,1.104161647160848,2.0,32.0,,,,
lewm-dmc:cheetah.run.occ-hacsmv4_noaux-s1,dmc:cheetah.run.occ,hacsmv4_noaux,1,851078,0.37921792348225913,0.15038202702999115,0.4588172435760498,0.6258876919746399,0.5737153887748718,0.18902696669101715,0.17262506484985352,0.2587132155895233,1.0118824243545532,0.1632722169160843,1.0144654512405396,0.6891944408416748,13.852587699890137,0.8441423201560974,0.6176798725128174,0.7919487285614014,1.122798350652059,0.5847360221544902,0.6506237316131592,0.7484846178690593,0.8354128392537435,1.122798350652059,2.0,32.0,,,,
lewm-dmc:cheetah.run.occ-hacsmv4_noaux-s2,dmc:cheetah.run.occ,hacsmv4_noaux,2,851078,0.3948134966691335,0.1491689234972,0.4952124059200287,0.6884479522705078,0.6038158535957336,0.1902175396680832,0.17270931601524353,0.26981502771377563,1.4084572792053223,0.16275696456432343,1.0144654512405396,0.6891944408416748,13.852587699890137,0.8446461439132691,0.6229734961191813,0.7934856589635213,1.1174791145324707,0.5897252066930135,0.656221760114034,0.7483052762349447,0.838666041692098,1.1174791145324707,2.0,32.0,,,,
lewm-dmc:cheetah.run.occ-hacsmv4_noaux-s3,dmc:cheetah.run.occ,hacsmv4_noaux,3,851078,0.3865233441193899,0.14881062507629395,0.4042348563671112,0.6337268948554993,0.5885803699493408,0.19175603985786438,0.17145833373069763,0.25367623567581177,1.1301040649414062,0.16283901035785675,1.0144654512405396,0.6891944408416748,13.852587699890137,0.8414068746566773,0.6120680665969849,0.7895257568359375,1.122626749674479,0.5787993693351745,0.6453367296854655,0.7466957998275757,0.8323557138442993,1.122626749674479,2.0,32.0,,,,
lewm-dmc:cheetah.run.occ-hacsmv4_noaux-s4,dmc:cheetah.run.occ,hacsmv4_noaux,4,851078,0.37908211986223855,0.1493760049343109,0.4124468266963959,0.5917579531669617,0.5738173127174377,0.1869703084230423,0.17281463742256165,0.25008946657180786,1.0378657579421997,0.1610485017299652,1.0144654512405396,0.6891944408416748,13.852587699890137,0.8295922191937765,0.6128811351458232,0.7806485525767008,1.095246901512146,0.5788840452829996,0.6468782250086467,0.7426932414372762,0.8186038891474406,1.095246901512146,2.0,32.0,,,,
lewm-dmc:cheetah.run.occ-hacsmv4_two_noaux-s0,dmc:cheetah.run.occ,hacsmv4_two_noaux,0,851076,0.3793971411387126,0.1483759880065918,0.4811467230319977,0.6830615997314453,0.5761811137199402,0.18607142567634583,0.17024192214012146,0.26526638865470886,1.3442822694778442,0.1587398797273636,1.0144654512405396,0.6891944408416748,13.852587699890137,0.7133749723434448,0.6114836041132609,0.8152663151423136,,0.57772403160731,0.6452431678771973,0.7750892726580302,0.8554433663686116,,2.0,8.0,,,,
