env,design,seed,level,tau,causal_gate_mean,visible_mean,black_mean,visible_minus_black,visible_auroc,temporal_std,input_std,original_first_post_mse,mean_gate_first_post_mse,mean_gate_relative_change
dmc:ball_in_cup.catch.occ,hacsmv4_static,1,1,8,0.8747763633728027,0.8747764825820923,0.8747766017913818,-1.1920928955078125e-07,0.5,1.1920928955078125e-07,6.556510925292969e-07,0.9993216395378113,0.9993215203285217,-1.192902061575296e-07
dmc:ball_in_cup.catch.occ,hacsmv4_static,1,2,32,0.8902927041053772,0.890292763710022,0.8902928233146667,-5.960464477539063e-08,0.5,0.0,1.4901161193847656e-06,0.9993216395378113,0.9993215203285217,-1.192902061575296e-07
dmc:ball_in_cup.catch.occ,hacsmv4_static,2,0,2,0.8655410408973694,0.8655411005020142,0.8655411601066589,-5.960464477539063e-08,0.5,1.7881393432617188e-07,1.0132789611816406e-06,0.9704797863960266,0.9704797863960266,0.0
dmc:ball_in_cup.catch.occ,hacsmv4_static,2,1,8,0.8734264969825745,0.8734265565872192,0.8734264969825745,5.960464477539063e-08,0.5,1.7881393432617188e-07,1.2516975402832031e-06,0.9704797863960266,0.9704797863960266,0.0
dmc:ball_in_cup.catch.occ,hacsmv4_static,2,2,32,0.8895710706710815,0.8895710110664368,0.8895711302757263,-1.1920928955078125e-07,0.5,1.7881393432617188e-07,5.960464477539062e-07,0.9704797863960266,0.9704797863960266,0.0
dmc:ball_in_cup.catch.occ,hacsmv4_noaction,0,0,2,0.7412756085395813,0.8738230466842651,0.5424543619155884,0.33136868476867676,1.0,0.1624206304550171,0.018263299018144608,1.0988129377365112,1.2107120752334595,0.10183638334274292
dmc:ball_in_cup.catch.occ,hacsmv4_noaction,0,1,8,0.7697077989578247,0.8948314785957336,0.5820224285125732,0.3128090500831604,1.0,0.1532694697380066,0.017298517748713493,1.0988129377365112,1.2107120752334595,0.10183638334274292
dmc:ball_in_cup.catch.occ,hacsmv4_noaction,0,2,32,0.7856189012527466,0.903332531452179,0.6090483665466309,0.2942841649055481,1.0,0.14417687058448792,0.018135173246264458,1.0988129377365112,1.2107120752334595,0.10183638334274292
dmc:ball_in_cup.catch.occ,hacsmv4_noaction,1,0,2,0.7299665212631226,0.8728265762329102,0.5156762003898621,0.3571503758430481,1.0,0.17505978047847748,0.01897636614739895,1.1518332958221436,1.355634331703186,0.17693622410297394
dmc:ball_in_cup.catch.occ,hacsmv4_noaction,1,1,8,0.7595594525337219,0.8950009942054749,0.556397020816803,0.3386039733886719,1.0,0.1659098118543625,0.017967941239476204,1.1518332958221436,1.355634331703186,0.17693622410297394
dmc:ball_in_cup.catch.occ,hacsmv4_noaction,1,2,32,0.7762693762779236,0.9040359258651733,0.584619402885437,0.31941652297973633,1.0,0.15649066865444183,0.019122086465358734,1.1518332958221436,1.355634331703186,0.17693622410297394
dmc:ball_in_cup.catch.occ,hacsmv4_noaction,2,0,2,0.7412295937538147,0.8738772869110107,0.5422579050064087,0.33161938190460205,1.0,0.16254696249961853,0.018489377573132515,1.112835168838501,1.3292573690414429,0.19447821378707886
dmc:ball_in_cup.catch.occ,hacsmv4_noaction,2,1,8,0.7699145078659058,0.8952172994613647,0.5819603204727173,0.31325697898864746,1.0,0.15349265933036804,0.017479117959737778,1.112835168838501,1.3292573690414429,0.19447821378707886
dmc:ball_in_cup.catch.occ,hacsmv4_noaction,2,2,32,0.7858043909072876,0.9038978219032288,0.6086642146110535,0.2952336072921753,1.0,0.14464417099952698,0.018552938476204872,1.112835168838501,1.3292573690414429,0.19447821378707886
dmc:ball_in_cup.catch.occ,hacsmv4_noaux,0,0,2,0.5769681930541992,0.824589192867279,0.20553666353225708,0.619052529335022,1.0,0.30331656336784363,0.02222277596592903,1.0381057262420654,1.787144422531128,0.7215437293052673
dmc:ball_in_cup.catch.occ,hacsmv4_noaux,0,1,8,0.6030372977256775,0.8437173366546631,0.2420172244310379,0.6017001271247864,1.0,0.2947816252708435,0.02149539813399315,1.0381057262420654,1.787144422531128,0.7215437293052673
