env,design,seed,condition,mask_start,mask_end,n_episodes,first_post_mse
dmc:finger.spin.occ,none,0,longer,10,19,150,1.7661861181259155
dmc:finger.spin.occ,none,1,original,10,16,150,1.813789963722229
dmc:finger.spin.occ,none,1,early,6,12,150,1.7943768501281738
dmc:finger.spin.occ,none,1,late,14,20,150,1.7585160732269287
dmc:finger.spin.occ,none,1,longer,10,19,150,1.7670719623565674
dmc:finger.spin.occ,none,2,original,10,16,150,1.815041184425354
dmc:finger.spin.occ,none,2,early,6,12,150,1.797393798828125
dmc:finger.spin.occ,none,2,late,14,20,150,1.7590959072113037
dmc:finger.spin.occ,none,2,longer,10,19,150,1.7658382654190063
dmc:finger.spin.occ,multi,0,original,10,16,150,1.4745022058486938
dmc:finger.spin.occ,multi,0,early,6,12,150,1.4431220293045044
dmc:finger.spin.occ,multi,0,late,14,20,150,1.4234273433685303
dmc:finger.spin.occ,multi,0,longer,10,19,150,1.5335673093795776
dmc:finger.spin.occ,multi,1,original,10,16,150,1.476590871810913
dmc:finger.spin.occ,multi,1,early,6,12,150,1.4512971639633179
dmc:finger.spin.occ,multi,1,late,14,20,150,1.3856995105743408
dmc:finger.spin.occ,multi,1,longer,10,19,150,1.524272084236145
dmc:finger.spin.occ,multi,2,original,10,16,150,1.4750434160232544
dmc:finger.spin.occ,multi,2,early,6,12,150,1.4677565097808838
dmc:finger.spin.occ,multi,2,late,14,20,150,1.3904415369033813
dmc:finger.spin.occ,multi,2,longer,10,19,150,1.5321977138519287
dmc:finger.spin.occ,ssm,0,original,10,16,150,1.1819552183151245
dmc:finger.spin.occ,ssm,0,early,6,12,150,1.1938639879226685
dmc:finger.spin.occ,ssm,0,late,14,20,150,1.1644632816314697
dmc:finger.spin.occ,ssm,0,longer,10,19,150,1.4121952056884766
dmc:finger.spin.occ,ssm,1,original,10,16,150,1.2066158056259155
dmc:finger.spin.occ,ssm,1,early,6,12,150,1.2343679666519165
dmc:finger.spin.occ,ssm,1,late,14,20,150,1.1515768766403198
dmc:finger.spin.occ,ssm,1,longer,10,19,150,1.502305030822754
dmc:finger.spin.occ,ssm,2,original,10,16,150,1.2181631326675415
dmc:finger.spin.occ,ssm,2,early,6,12,150,1.1613973379135132
dmc:finger.spin.occ,ssm,2,late,14,20,150,1.1570179462432861
dmc:finger.spin.occ,ssm,2,longer,10,19,150,1.3480939865112305
dmc:finger.spin.occ,smtv3,0,original,10,16,150,1.4217578172683716
dmc:finger.spin.occ,smtv3,0,early,6,12,150,1.43328857421875
dmc:finger.spin.occ,smtv3,0,late,14,20,150,1.3715211153030396
dmc:finger.spin.occ,smtv3,0,longer,10,19,150,1.4680618047714233
dmc:finger.spin.occ,smtv3,1,original,10,16,150,1.4031647443771362
dmc:finger.spin.occ,smtv3,1,early,6,12,150,1.4199676513671875
dmc:finger.spin.occ,smtv3,1,late,14,20,150,1.3791333436965942
dmc:finger.spin.occ,smtv3,1,longer,10,19,150,1.4888471364974976
dmc:finger.spin.occ,smtv3,2,original,10,16,150,1.4609755277633667
dmc:finger.spin.occ,smtv3,2,early,6,12,150,1.4543085098266602
dmc:finger.spin.occ,smtv3,2,late,14,20,150,1.3740853071212769
dmc:finger.spin.occ,smtv3,2,longer,10,19,150,1.4997076988220215
dmc:finger.spin.occ,hacsmv4_static,0,original,10,16,150,1.3664685487747192
dmc:finger.spin.occ,hacsmv4_static,0,early,6,12,150,1.3748871088027954
dmc:finger.spin.occ,hacsmv4_static,0,late,14,20,150,1.3194390535354614
dmc:finger.spin.occ,hacsmv4_static,0,longer,10,19,150,1.4676076173782349
dmc:finger.spin.occ,hacsmv4_static,1,original,10,16,150,1.4490734338760376
dmc:finger.spin.occ,hacsmv4_static,1,early,6,12,150,1.466890811920166
dmc:finger.spin.occ,hacsmv4_static,1,late,14,20,150,1.3701660633087158
dmc:finger.spin.occ,hacsmv4_static,1,longer,10,19,150,1.5138535499572754
dmc:finger.spin.occ,hacsmv4_static,2,original,10,16,150,1.4550172090530396
dmc:finger.spin.occ,hacsmv4_static,2,early,6,12,150,1.4540168046951294
dmc:finger.spin.occ,hacsmv4_static,2,late,14,20,150,1.3347193002700806
dmc:finger.spin.occ,hacsmv4_static,2,longer,10,19,150,1.4654685258865356
dmc:finger.spin.occ,hacsmv4_noaction,0,original,10,16,150,1.442884922027588
dmc:finger.spin.occ,hacsmv4_noaction,0,early,6,12,150,1.4627670049667358
dmc:finger.spin.occ,hacsmv4_noaction,0,late,14,20,150,1.4113945960998535
dmc:finger.spin.occ,hacsmv4_noaction,0,longer,10,19,150,1.5500603914260864
dmc:finger.spin.occ,hacsmv4_noaction,1,original,10,16,150,1.4418855905532837
dmc:finger.spin.occ,hacsmv4_noaction,1,early,6,12,150,1.4799174070358276
dmc:finger.spin.occ,hacsmv4_noaction,1,late,14,20,150,1.4079734086990356
dmc:finger.spin.occ,hacsmv4_noaction,1,longer,10,19,150,1.56276273727417
dmc:finger.spin.occ,hacsmv4_noaction,2,original,10,16,150,1.47169029712677
dmc:finger.spin.occ,hacsmv4_noaction,2,early,6,12,150,1.4858909845352173
dmc:finger.spin.occ,hacsmv4_noaction,2,late,14,20,150,1.3839497566223145
dmc:finger.spin.occ,hacsmv4_noaction,2,longer,10,19,150,1.541797161102295
dmc:finger.spin.occ,hacsmv4_noaux,0,original,10,16,150,1.2757331132888794
dmc:finger.spin.occ,hacsmv4_noaux,0,early,6,12,150,1.3000370264053345
dmc:finger.spin.occ,hacsmv4_noaux,0,late,14,20,150,1.2364813089370728
dmc:finger.spin.occ,hacsmv4_noaux,0,longer,10,19,150,1.417446494102478
dmc:finger.spin.occ,hacsmv4_noaux,1,original,10,16,150,1.2754162549972534
dmc:finger.spin.occ,hacsmv4_noaux,1,early,6,12,150,1.299137830734253
dmc:finger.spin.occ,hacsmv4_noaux,1,late,14,20,150,1.225868821144104
dmc:finger.spin.occ,hacsmv4_noaux,1,longer,10,19,150,1.3944427967071533
dmc:finger.spin.occ,hacsmv4_noaux,2,original,10,16,150,1.3114969730377197
dmc:finger.spin.occ,hacsmv4_noaux,2,early,6,12,150,1.2946999073028564
dmc:finger.spin.occ,hacsmv4_noaux,2,late,14,20,150,1.2278550863265991
dmc:finger.spin.occ,hacsmv4_noaux,2,longer,10,19,150,1.441752314567566
dmc:finger.spin.occ,hacsmv4_single,0,original,10,16,150,1.2846852540969849
dmc:finger.spin.occ,hacsmv4_single,0,early,6,12,150,1.321999430656433
dmc:finger.spin.occ,hacsmv4_single,0,late,14,20,150,1.2139344215393066
dmc:finger.spin.occ,hacsmv4_single,0,longer,10,19,150,1.3386555910110474
dmc:finger.spin.occ,hacsmv4_single,1,original,10,16,150,1.3201711177825928
dmc:finger.spin.occ,hacsmv4_single,1,early,6,12,150,1.3746496438980103
dmc:finger.spin.occ,hacsmv4_single,1,late,14,20,150,1.258957862854004
dmc:finger.spin.occ,hacsmv4_single,1,longer,10,19,150,1.3740596771240234
dmc:finger.spin.occ,hacsmv4_single,2,original,10,16,150,1.3378530740737915
dmc:finger.spin.occ,hacsmv4_single,2,early,6,12,150,1.3669997453689575
dmc:finger.spin.occ,hacsmv4_single,2,late,14,20,150,1.216105580329895
dmc:finger.spin.occ,hacsmv4_single,2,longer,10,19,150,1.3345509767532349
dmc:finger.spin.occ,hacsmv4,0,original,10,16,150,1.2663912773132324
dmc:finger.spin.occ,hacsmv4,0,early,6,12,150,1.287838339805603
dmc:finger.spin.occ,hacsmv4,0,late,14,20,150,1.237043023109436
dmc:finger.spin.occ,hacsmv4,0,longer,10,19,150,1.3604589700698853
dmc:finger.spin.occ,hacsmv4,1,original,10,16,150,1.2724003791809082
dmc:finger.spin.occ,hacsmv4,1,early,6,12,150,1.3103797435760498
dmc:finger.spin.occ,hacsmv4,1,late,14,20,150,1.2555547952651978
dmc:finger.spin.occ,hacsmv4,1,longer,10,19,150,1.3567569255828857
dmc:finger.spin.occ,hacsmv4,2,original,10,16,150,1.3070342540740967
dmc:finger.spin.occ,hacsmv4,2,early,6,12,150,1.3158751726150513
dmc:finger.spin.occ,hacsmv4,2,late,14,20,150,1.2283344268798828
dmc:finger.spin.occ,hacsmv4,2,longer,10,19,150,1.348998785018921
dmc:cheetah.run.occ,none,0,original,10,16,150,0.6396088004112244
dmc:cheetah.run.occ,none,0,early,6,12,150,0.6252915859222412
dmc:cheetah.run.occ,none,0,late,14,20,150,0.6348836421966553
dmc:cheetah.run.occ,none,0,longer,10,19,150,0.6316865086555481
dmc:cheetah.run.occ,none,1,original,10,16,150,0.6379517316818237
dmc:cheetah.run.occ,none,1,early,6,12,150,0.6304223537445068
dmc:cheetah.run.occ,none,1,late,14,20,150,0.6323758959770203
dmc:cheetah.run.occ,none,1,longer,10,19,150,0.6244117617607117
dmc:cheetah.run.occ,none,2,original,10,16,150,0.6283038258552551
dmc:cheetah.run.occ,none,2,early,6,12,150,0.627918004989624
dmc:cheetah.run.occ,none,2,late,14,20,150,0.6280544996261597
dmc:cheetah.run.occ,none,2,longer,10,19,150,0.6198636293411255
dmc:cheetah.run.occ,multi,0,original,10,16,150,0.7657040357589722
dmc:cheetah.run.occ,multi,0,early,6,12,150,0.7991341352462769
dmc:cheetah.run.occ,multi,0,late,14,20,150,0.747635543346405
dmc:cheetah.run.occ,multi,0,longer,10,19,150,0.8289640545845032
dmc:cheetah.run.occ,multi,1,original,10,16,150,0.7970665693283081
dmc:cheetah.run.occ,multi,1,early,6,12,150,0.823364794254303
