env,design,n_seeds,val_pred_loss_mean,val_pred_loss_std,clean_mse_pre_mean,clean_mse_pre_std,clean_mse_blackout_transition_mean,clean_mse_blackout_transition_std,clean_mse_deep_blackout_mean,clean_mse_deep_blackout_std,clean_mse_first_post_mean,clean_mse_first_post_std,clean_mse_recovery_mean,clean_mse_recovery_std,clean_mse_late_post_mean,clean_mse_late_post_std,clean_mse_all_mean,clean_mse_all_std,clean_mse_first_post_ablated_mean,clean_mse_first_post_ablated_std,clean_input_mse_first_post_mean,clean_input_mse_first_post_std,last_visible_mse_first_post_mean,last_visible_mse_first_post_std,constant_mse_first_post_mean,constant_mse_first_post_std,persistence_mse_first_post_mean,persistence_mse_first_post_std,trainable_parameters_mean,trainable_parameters_std,val_hier_loss_mean,val_hier_loss_std,val_hier_loss_fast_mean,val_hier_loss_fast_std,val_hier_loss_medium_mean,val_hier_loss_medium_std,val_hier_loss_slow_mean,val_hier_loss_slow_std,val_hier_loss_h1_mean,val_hier_loss_h1_std,val_hier_loss_h2_mean,val_hier_loss_h2_std,val_hier_loss_h4_mean,val_hier_loss_h4_std,val_hier_loss_h8_mean,val_hier_loss_h8_std,val_hier_loss_h16_mean,val_hier_loss_h16_std
dmc:finger.spin.occ,hacsmv4_noaux,3,0.8417176328765021,0.00835820421816967,0.3514077961444855,0.0012917269607438232,0.7555870016415914,0.02180880466470073,1.2981957991917927,0.013294930194925598,1.2875487804412842,0.016934507367497565,0.3758620818456014,0.004179993560266455,0.3543278177579244,0.0013708309072511782,0.5264392097791036,0.001695844927863874,3.9598085085550943,0.13419689368368634,0.3446858823299408,0.0007511286360732298,1.2537477016448975,0.0,1.7987955808639526,0.0,14.051904678344727,0.0,851078.0,0.0,1.3375623575846354,0.0008985223849328725,1.0162559821870591,0.002026294657207104,1.215954968134562,0.0023560372217753646,1.780475984149509,0.0010916233390995836,0.9813851218753391,0.002731868991668715,1.0511268424987792,0.0016478097881014037,1.1387275822957357,0.002281391148440337,1.2931823592715794,0.0024313286615780345,1.780475984149509,0.0010916233390995836
dmc:finger.spin.occ,hacsmv4_single,3,0.8579594707489013,0.011383019199195406,0.35776108503341675,0.00028934505039789955,0.7274611989657084,0.012652516424048594,1.2803191343943279,0.030368554005221492,1.3142364422480266,0.02210765658619264,0.38029401501019794,0.005144396734337716,0.35842641194661456,0.0009321504938477724,0.5262771248817444,0.004767598036765994,3.907319704691569,0.11567139056234686,0.3481654226779938,0.0014983781704497076,1.2537477016448975,0.0,1.7987955808639526,0.0,14.051904678344727,0.0,851078.0,0.0,1.1149801757600573,0.0023273425187155393,0.823949015405443,0.005870761905307078,1.0332973782221475,0.00033007583226908393,1.4876940202713012,0.0015261390477600155,0.795560962094201,0.0064976418471873135,0.852337040371365,0.005249980371493942,0.9790862851672703,0.0002863750146607323,1.0875084993574355,0.00041485892179056444,1.4876940202713012,0.0015261390477600155
dmc:finger.spin.occ,hacsmv4_static,3,0.9222571796841091,0.02092556793364317,0.3738687535127004,0.0009509024786941344,0.7341436147689819,0.012763425466825906,1.3418302536010742,0.034175837120902004,1.4235196908315022,0.04041416482378652,0.3914643923441569,0.004874713749819156,0.3737959663073222,0.0013204283989240125,0.5486482580502828,0.006046856858534678,3.2084995905558267,0.061976192354997496,0.36318307121594745,0.0006548201949157736,1.2537477016448975,0.0,1.7987955808639526,0.0,14.051904678344727,0.0,851078.0,0.0,1.2314998234642878,0.0008991195641668696,1.1024960290061103,0.0012271375818011022,1.0539411650763617,0.0005234960520819401,1.5380620718002318,0.0014466060275391606,1.0804076984193591,0.0011218451614272095,1.1245843426386515,0.0013329416445324877,0.9976301789283752,0.0006139198309987308,1.1102521483103434,0.0005453638684824277,1.5380620718002318,0.0014466060275391606
dmc:finger.spin.occ,multi,3,0.9474304048220317,0.00040733516803903363,0.37384820977846783,0.001133695734948342,0.754116972287496,0.023755851412069266,1.2690478960673015,0.007812415611370939,1.4753787914911907,0.0008849406648583864,0.390109121799469,0.00026243119388442656,0.36735010147094727,0.001641907563078135,0.541985551516215,0.0034718377753522396,2.0071467558542886,0.06290315864903441,0.36565667390823364,0.001242614860861118,1.2537477016448975,0.0,1.7987955808639526,0.0,14.051904678344727,0.0,914816.0,0.0,,,,,,,,,,,,,,,,,,
dmc:finger.spin.occ,none,3,1.0863593477673,0.0007253204577341149,0.29128873348236084,0.0018498286143139768,1.0725387732187908,0.010662099544129134,1.7965020338694255,0.0009335378048367226,1.8149598836898804,0.0009239756669562702,0.3259231448173523,0.005354730608948358,0.28635574380556744,0.002442601492613193,0.5805370410283407,0.0027487321379346674,1.8149598836898804,0.0009239756669562702,0.29446085294087726,0.0009005680356884702,1.2537477016448975,0.0,1.7987955808639526,0.0,14.051904678344727,0.0,849280.0,0.0,,,,,,,,,,,,,,,,,,
dmc:finger.spin.occ,smtv3,3,0.9185421257548861,0.011915348840205576,0.35795501867930096,0.001405338801836111,0.7100696961085001,0.002762444054363948,1.3320588270823162,0.019330197425670437,1.4286326169967651,0.024096564152655254,0.3813706636428833,0.0037379806971641516,0.36133281389872235,0.001787665386491105,0.5351990262667338,0.0016112574503049889,2.974633773167928,0.12924511140217365,0.35153548916180927,0.0004988608601057208,1.2537477016448975,0.0,1.7987955808639526,0.0,14.051904678344727,0.0,833159.0,0.0,,,,,,,,,,,,,,,,,,
dmc:finger.spin.occ,ssm,3,0.8087217558754815,0.0066268713872215486,0.375325342019399,0.0029265404369202405,0.7360749840736389,0.005494259075741209,1.0422403812408447,0.011115400483027558,1.2022446393966675,0.01510144907659939,0.39198728402455646,0.0012413804455472866,0.3796982566515605,0.002783512123423213,0.5132592916488647,0.0013835170560132426,1.9824254910151164,0.004795030741488365,0.3798800011475881,0.00385857098915381,1.2537477016448975,0.0,1.7987955808639526,0.0,14.051904678344727,0.0,849536.0,0.0,,,,,,,,,,,,,,,,,,
dmc:reacher.hard.occ,hacsmv4,3,0.5771356990602282,0.004773385754584776,0.2423268755276998,0.0008153675781652261,0.4335198998451233,0.008226171700175287,0.8087892929712931,0.005781285004910333,0.8716370264689127,0.008456241335703248,0.26406151056289673,0.002934199768591684,0.2618877788384755,0.0007188814230237525,0.3526729643344879,0.001003877213401098,1.9995418389638264,0.09599752663190102,0.2406902809937795,0.0005658220049605796,0.7168161869049072,0.0,1.1618891954421997,0.0,14.402030944824219,0.0,851078.0,0.0,0.6782317590713501,0.0005210623720540366,0.47243630859586927,0.0008957322018663279,0.650718596511417,0.00034443544928191536,0.9115403297212389,0.00037613194100322953,0.4530905803044637,0.000878345506346443,0.49178202695316736,0.0009137847998326301,0.605888450410631,0.0003151142830996865,0.6955487540033128,0.000376472303969284,0.9115403297212389,0.00037613194100322953
dmc:reacher.hard.occ,hacsmv4_noaction,3,0.5751922051111857,0.0040398650519978966,0.2431744933128357,0.0009209459758969258,0.4360800584157308,0.005959952779021497,0.8140528400739034,0.004072331798184735,0.8672902385393778,0.007151441491080243,0.2640669147173564,0.0032451756694102047,0.2625783880551656,0.0007841027672983754,0.3538469771544139,0.0010501379178304336,2.0954161485036216,0.06223524207705482,0.241502712170283,0.0006221107031807168,0.7168161869049072,0.0,1.1618891954421997,0.0,14.402030944824219,0.0,851078.0,0.0,0.6799144572681851,0.00019798850406282275,0.46621741122669647,0.0002157088732242492,0.6552916998333401,8.701582173486123e-05,0.9182342296176487,0.00033087867714123295,0.44746422118610807,0.00023586347132834606,0.4849705913331773,0.0001966480021526394,0.6087439348962572,9.530112107481935e-05,0.7018394788106282,0.00011911215343366767,0.9182342296176487,0.00033087867714123295
dmc:reacher.hard.occ,hacsmv4_noaux,3,0.5757842344707913,0.004946267501679294,0.24168476462364197,0.0006974524917324236,0.4350400964419047,0.012253277346963062,0.8120086789131165,0.007993324410069006,0.8695527911186218,0.008926013066231928,0.26377145449320477,0.0022451246754714846,0.2613439659277598,0.0005736690998211555,0.3526726762453715,0.0004047014122773763,2.4365181922912598,0.0410888116484493,0.2401532232761383,0.0006851394698215506,0.7168161869049072,0.0,1.1618891954421997,0.0,14.402030944824219,0.0,851078.0,0.0,0.7830635431077745,0.0008592103434026033,0.5811813444561429,0.002533995557132771,0.736505802737342,0.0003223761885758326,1.0315034113989936,0.0007156885985029136,0.5564140182071262,0.002949773191664876,0.6059486932224698,0.002133461735000875,0.6806689172320896,0.00043026807506156106,0.7923426938056946,0.0003578123514554599,1.0315034113989936,0.0007156885985029136
