env,design,seed,condition,original_first_post_mse,intervention_first_post_mse,relative_change,changed_action_fraction
dmc:ball_in_cup.catch.occ,hacsmv4_static,2,zero_early_blackout,0.9704797863960266,1.0047924518585205,0.035356394946575165,0.09677419066429138
dmc:ball_in_cup.catch.occ,hacsmv4_static,2,zero_full_gap,0.9704797863960266,1.0334426164627075,0.06487804651260376,0.19354838132858276
dmc:ball_in_cup.catch.occ,hacsmv4_static,2,cross_episode_early_blackout,0.9704797863960266,1.0589478015899658,0.09115905314683914,0.08473118394613266
dmc:ball_in_cup.catch.occ,hacsmv4_noaction,0,zero_early_blackout,1.0988129377365112,1.0988129377365112,0.0,0.09677419066429138
dmc:ball_in_cup.catch.occ,hacsmv4_noaction,0,zero_full_gap,1.0988129377365112,1.0988129377365112,0.0,0.19354838132858276
dmc:ball_in_cup.catch.occ,hacsmv4_noaction,0,cross_episode_early_blackout,1.0988129377365112,1.0988129377365112,0.0,0.08473118394613266
dmc:ball_in_cup.catch.occ,hacsmv4_noaction,1,zero_early_blackout,1.1518332958221436,1.1518332958221436,0.0,0.09677419066429138
dmc:ball_in_cup.catch.occ,hacsmv4_noaction,1,zero_full_gap,1.1518332958221436,1.1518332958221436,0.0,0.19354838132858276
dmc:ball_in_cup.catch.occ,hacsmv4_noaction,1,cross_episode_early_blackout,1.1518332958221436,1.1518332958221436,0.0,0.08473118394613266
dmc:ball_in_cup.catch.occ,hacsmv4_noaction,2,zero_early_blackout,1.112835168838501,1.112835168838501,0.0,0.09677419066429138
dmc:ball_in_cup.catch.occ,hacsmv4_noaction,2,zero_full_gap,1.112835168838501,1.112835168838501,0.0,0.19354838132858276
dmc:ball_in_cup.catch.occ,hacsmv4_noaction,2,cross_episode_early_blackout,1.112835168838501,1.112835168838501,0.0,0.08473118394613266
dmc:ball_in_cup.catch.occ,hacsmv4_noaux,0,zero_early_blackout,1.0381057262420654,1.0782455205917358,0.03866638243198395,0.09677419066429138
dmc:ball_in_cup.catch.occ,hacsmv4_noaux,0,zero_full_gap,1.0381057262420654,1.1157430410385132,0.07478748261928558,0.19354838132858276
dmc:ball_in_cup.catch.occ,hacsmv4_noaux,0,cross_episode_early_blackout,1.0381057262420654,1.1615859270095825,0.11894761770963669,0.08473118394613266
dmc:ball_in_cup.catch.occ,hacsmv4_noaux,1,zero_early_blackout,1.0470308065414429,1.082889199256897,0.03424769639968872,0.09677419066429138
dmc:ball_in_cup.catch.occ,hacsmv4_noaux,1,zero_full_gap,1.0470308065414429,1.1247576475143433,0.07423548400402069,0.19354838132858276
dmc:ball_in_cup.catch.occ,hacsmv4_noaux,1,cross_episode_early_blackout,1.0470308065414429,1.165676236152649,0.11331608146429062,0.08473118394613266
dmc:ball_in_cup.catch.occ,hacsmv4_noaux,2,zero_early_blackout,1.0638128519058228,1.0969971418380737,0.031193729490041733,0.09677419066429138
dmc:ball_in_cup.catch.occ,hacsmv4_noaux,2,zero_full_gap,1.0638128519058228,1.1265243291854858,0.058949727565050125,0.19354838132858276
dmc:ball_in_cup.catch.occ,hacsmv4_noaux,2,cross_episode_early_blackout,1.0638128519058228,1.161706805229187,0.09202177822589874,0.08473118394613266
dmc:ball_in_cup.catch.occ,hacsmv4_single,0,zero_early_blackout,0.9848746061325073,1.033379077911377,0.04924938827753067,0.09677419066429138
