run,env,design,seed,val_pred_loss,clean_mse_pre,clean_mse_blackout_transition,clean_mse_deep_blackout,clean_mse_first_post,clean_mse_recovery,clean_mse_late_post,clean_mse_all,clean_mse_first_post_ablated,clean_input_mse_first_post,last_visible_mse_first_post,constant_mse_first_post,persistence_mse_first_post,trainable_parameters,val_hier_loss,val_hier_loss_fast,val_hier_loss_medium,val_hier_loss_slow,val_hier_loss_h1,val_hier_loss_h2,val_hier_loss_h4,val_hier_loss_h8,val_hier_loss_h16
lewm-dmc:cheetah.run.occ-hacsmv4_static-s1,dmc:cheetah.run.occ,hacsmv4_static,1,0.4107307247320811,0.15775379538536072,0.3655107915401459,0.5941910743713379,0.6283586621284485,0.195478618144989,0.1782902330160141,0.2524300515651703,0.803621768951416,0.1706671416759491,1.0144654512405396,0.6891944408416748,13.852587699890137,851078,0.7134114074707031,0.5402891914049784,0.7010850063959757,0.8988599562644959,0.5079499793052673,0.5726284162203471,0.6634884214401245,0.7386815571784973,0.8988599562644959
lewm-dmc:cheetah.run.occ-hacsmv4_static-s2,dmc:cheetah.run.occ,hacsmv4_static,2,0.37883232831954955,0.15570558607578278,0.3643935024738312,0.5716140866279602,0.56892991065979,0.18928742408752441,0.1771889477968216,0.24651457369327545,0.8688176274299622,0.17223979532718658,1.0144654512405396,0.6891944408416748,13.852587699890137,851078,0.711631825764974,0.5403841082255045,0.700381563504537,0.894129814306895,0.5079313818613688,0.5728368131319682,0.6633049321174621,0.7374581948916117,0.894129814306895
lewm-dmc:cheetah.run.occ-multi-s0,dmc:cheetah.run.occ,multi,0,0.4823661470413208,0.1596832424402237,0.47693029046058655,0.7181220054626465,0.7657039761543274,0.1832999885082245,0.17904330790042877,0.28147608041763306,0.7421851754188538,0.18298998475074768,1.0144654512405396,0.6891944408416748,13.852587699890137,914816,,,,,,,,,
lewm-dmc:cheetah.run.occ-multi-s1,dmc:cheetah.run.occ,multi,1,0.4996283562978109,0.16164185106754303,0.44436606764793396,0.7263320088386536,0.7970665097236633,0.19023355841636658,0.18010355532169342,0.2814643681049347,0.7033448815345764,0.1855708509683609,1.0144654512405396,0.6891944408416748,13.852587699890137,914816,,,,,,,,,
lewm-dmc:cheetah.run.occ-multi-s2,dmc:cheetah.run.occ,multi,2,0.49215007623036705,0.15931327641010284,0.4785572588443756,0.7394691109657288,0.7841135263442993,0.18741154670715332,0.17924322187900543,0.2847713828086853,0.7798025608062744,0.18820437788963318,1.0144654512405396,0.6891944408416748,13.852587699890137,914816,,,,,,,,,
lewm-dmc:cheetah.run.occ-none-s0,dmc:cheetah.run.occ,none,0,0.41011023124059043,0.14248360693454742,0.4527304172515869,0.634239673614502,0.6396088004112244,0.18542718887329102,0.1650938093662262,0.2556889057159424,0.6396088004112244,0.15167947113513947,1.0144654512405396,0.6891944408416748,13.852587699890137,849280,,,,,,,,,
lewm-dmc:cheetah.run.occ-none-s1,dmc:cheetah.run.occ,none,1,0.4095649286111196,0.1432715356349945,0.45005783438682556,0.6335904002189636,0.6379517316818237,0.18872669339179993,0.16529163718223572,0.25579455494880676,0.6379517316818237,0.15743398666381836,1.0144654512405396,0.6891944408416748,13.852587699890137,849280,,,,,,,,,
lewm-dmc:cheetah.run.occ-none-s2,dmc:cheetah.run.occ,none,2,0.40399418711662294,0.14186802506446838,0.4597761631011963,0.6306521892547607,0.6283038258552551,0.18561534583568573,0.16462571918964386,0.25531139969825745,0.6283038258552551,0.15672233700752258,1.0144654512405396,0.6891944408416748,13.852587699890137,849280,,,,,,,,,
lewm-dmc:cheetah.run.occ-smtv3-s0,dmc:cheetah.run.occ,smtv3,0,0.5226887432734172,0.15571823716163635,0.45965537428855896,0.8109706044197083,0.8424439430236816,0.1963019073009491,0.18018434941768646,0.2923913598060608,1.048801302909851,0.1669820249080658,1.0144654512405396,0.6891944408416748,13.852587699890137,833159,,,,,,,,,
lewm-dmc:cheetah.run.occ-smtv3-s1,dmc:cheetah.run.occ,smtv3,1,0.5051588177680969,0.15532507002353668,0.492859810590744,0.8219623565673828,0.8094376921653748,0.20005649328231812,0.17872411012649536,0.29533469676971436,1.065865159034729,0.17208516597747803,1.0144654512405396,0.6891944408416748,13.852587699890137,833159,,,,,,,,,
lewm-dmc:cheetah.run.occ-smtv3-s2,dmc:cheetah.run.occ,smtv3,2,0.5284549880027771,0.15464186668395996,0.46355319023132324,0.816870927810669,0.854485273361206,0.19332654774188995,0.17939528822898865,0.2930014729499817,0.8894946575164795,0.16704398393630981,1.0144654512405396,0.6891944408416748,13.852587699890137,833159,,,,,,,,,
lewm-dmc:cheetah.run.occ-ssm-s0,dmc:cheetah.run.occ,ssm,0,0.4200839225451152,0.1453103870153427,0.4372628629207611,0.6453033685684204,0.6559765338897705,0.18060599267482758,0.1693875640630722,0.2580723464488983,0.7845940589904785,0.1734326332807541,1.0144654512405396,0.6891944408416748,13.852587699890137,849536,,,,,,,,,
lewm-dmc:cheetah.run.occ-ssm-s1,dmc:cheetah.run.occ,ssm,1,0.4233896327018738,0.14604993164539337,0.4257291257381439,0.6609301567077637,0.6611087918281555,0.1863325536251068,0.1703304648399353,0.25966888666152954,0.8617749214172363,0.17519554495811462,1.0144654512405396,0.6891944408416748,13.852587699890137,849536,,,,,,,,,
lewm-dmc:cheetah.run.occ-ssm-s2,dmc:cheetah.run.occ,ssm,2,0.41763348897298175,0.14430639147758484,0.452434778213501,0.6533011198043823,0.6521008014678955,0.1815686821937561,0.16826452314853668,0.2596561908721924,0.8884823322296143,0.175487220287323,1.0144654512405396,0.6891944408416748,13.852587699890137,849536,,,,,,,,,
lewm-dmc:finger.spin.occ-hacsmv4-s0,dmc:finger.spin.occ,hacsmv4,0,0.8316690564155579,0.35432711243629456,0.7215796113014221,1.228284478187561,1.2663912773132324,0.3719382882118225,0.35686296224594116,0.51652991771698,3.3874621391296387,0.3459034860134125,1.2537477016448975,1.7987955808639526,14.051904678344727,851078,1.1050181341171266,0.8088592839241028,1.0302098274230957,1.4759851042429606,0.780779337088267,0.8369392307599386,0.9769771734873454,1.0834424813588461,1.4759851042429606
lewm-dmc:finger.spin.occ-hacsmv4-s1,dmc:finger.spin.occ,hacsmv4,1,0.8350625276565552,0.3546687960624695,0.7200352549552917,1.2421761751174927,1.2724002599716187,0.385417103767395,0.3555193245410919,0.5184242129325867,3.6543314456939697,0.34439724683761597,1.2537477016448975,1.7987955808639526,14.051904678344727,851078,1.1014191325505573,0.8005060911178589,1.0293796809514364,1.4743715143203735,0.7711804644266764,0.8298317090670267,0.9763745514551798,1.0823847595850626,1.4743715143203735
lewm-dmc:finger.spin.occ-hacsmv4-s2,dmc:finger.spin.occ,hacsmv4,2,0.8515984646479289,0.3513481020927429,0.7056865692138672,1.2621251344680786,1.3070342540740967,0.37696439027786255,0.3531801998615265,0.5177647471427917,3.6562092304229736,0.34605151414871216,1.2537477016448975,1.7987955808639526,14.051904678344727,851078,1.1002563365300497,0.8019355289141337,1.0293919293085734,1.4694413312276204,0.7725618688265482,0.8313091635704041,0.9768164833386739,1.081967315673828,1.4694413312276204
